word,ipa
ama,/ˈɑː.mə/
a,/a/
maa-,"/maː-/ [maː-]"
-y,/i/
-luk,"/-luk/ [-lʊʰk]"
-lluk,"/-lːuk/ [-lːʊʰk]"
-llih,"/-lːih/ [-lːɪh]"
-lih,"/-lih/ [-lɪh]"
rusastu,"/ruˈsastu/ [ɾʊˈsʌstʊ]"
galame,"/ɡalaˈme/ [ɡʌlʌˈmɛ]"
bilsim,"/bilˈsim/ [bɪlˈsɪm]"
madfaq,"/madˈfaʕ/ [mʌdˈfʌʕ]"
madeera,"/madeːˈra/ [mʌdeːˈɾʌ]"
maddur,"/madˈdur/ [mʌdˈdʊɾ]"
habbaale,"/habːaːˈle/ [hʌbːaːˈlɛ]"
xiine,"/ɖiːˈne/ [ɖiːˈnɛ]"
ayfoofe,"/ajfoːˈfe/ [ʔʌjfoːˈfɛ]"
koqoso,"/koʕoˈso/ [kɔʕoˈsɔ]"
xaqame,"/ɖaʕaˈme/ [ɖʌʕaˈmɛ]"
xaqamu,"/ɖaˈʕamu/ [ɖʌˈʕamʊ]"
bolistu,"/boˈlistu/ [bɔˈlɪstʊ]"
sacni,"/ˈsaħni/ [ˈsʌħnɪ]"
tamaatim,"/taˈmaːtim/ [tʌˈmaːtɪm]"
koqso,"/koʕˈso/ [kɔʕˈsɔ]"
kabxa,"/ˈkabɖa/ [ˈkʌbɖʌ]"
waaso,"/waːˈso/ [waːˈsɔ]"
aydaada,"/ajˈdaːda/ [ʔʌjˈdaːdʌ]"
ummat,"/umˈmat/ [ʔʊmˈmʌʰt]"
ookome,"/oːkoˈme/ [ʔoːkɔˈmɛ]"
burraacini,"/burːaːħiˈni/ [bʊrːaːħɪˈnɪ]"
burkacite,"/burkaħiˈte/ [bʊɾkʌħɪˈtɛ]"
burkac,"/ˈburkaħ/ [ˈbʊɾkʌħ]"
burqi,"/ˈburʕi/ [ˈbʊɾʕi]"
buluula,"/buˈluːla/ [bʊˈluːlʌ]"
agle,"/aɡˈle/ [ʔʌɡˈlɛ]"
