word,ipa
aartsbiskop,/ˈaːtsˌbɪs.kop/
vergeet,/fərˈχɪə̯t/
gabba,/xɑbɑ/
gaaf,/ɣaːf/
asterisk,/ˈæstəɹɪsk/
kookboek,/ˈkoːk.buk/
aambeeldbaan,/ˈɑːmbɪəltˌbɑːn/
aalvormig,/ˈɑːlforməχ/
aaltjiesiekte,/ˈɑːlkiˌsiktə/
aaltjiesgal,/ˈɑːlkisˌχal/
aakligheid,/ˈɑːkləχɦəit/
bantoestan,/ˈbɑn.tuˌstɑn/
keël,/kiə̯l/
seëvier,/ˈsiə̯.fir/
Klerk,"/də ˈklɛrk/"
partytjie,/parˈtəɪ̯.ki/
temalied,/ˈte.maˌlit/
posadres,/ˈpɔs.aˌdrɛs/
winskoop,/ˈvənsˌkʊəp/
suiwer,/ˈsœɪ̯.vər/
mondspoelmiddel,/ˈmɔnt.spuə̯lˌmɪ.dəl/
sosialis,[so.ʃə.lis]
kameeldoring,/kɑˈmɪə̯ɫˌdʊə̯.rəŋ/
poekoe,/ˈpu.ku/
renostervoël,/rəˌnɔstərˈfʊə̯l/
Taiwanees,/ˌtɑj.ʋaːˈneːs/
Libanees,/liː.baː.ˈneːs/
Tongaan,/ˈtoːn.ɡaːn/
Tongaans,/ˈtoːn.ɡaːns/
Kiëf,-iːf
Londenaar,/ˈlɔn.dəˌnaːr/
Roemeen,/ruˈmeː.n/
neushoring,/ˈnɪøsˌɦʊə.rəŋ/
Podgoritsa,/pɔd.ɡɔ.ʁit.sa/
Liechtensteins,[ˈlɪçtənˌʃtaɪ̯ns]
Jerewan,/jɛʁɛˈvaːn/
Armeniër,/ɑr.ˈmeː.ni.ər/
toelaag,/ˈtu.lɑːχ/
Libiër,/li.bi.ər/
Noord-Afrika,/ˌnoːrtˈaː.fri.kaː/
aalsop,/ˈɑːl.sop/
aalpastei,/ˈɑːlpasˌtɛi̯/
aalagtig,/ɑːˈlaχ.tiχ/
alleenspraak,/ɑˈleːnˌspraːk/
Wener,/ˈʋeːˈnər/
kaaskoek,/ˈkɑːskuk/
maroela,/maˈrula/
dinosourus,/dinuˈsʌu̯rəs/
higrometer,/xiɡrɔmèːtɛr/
lyfvlegter,/ˈləi̯ˌflɛχ.tər/
Monegask,/mɔneːˈɣaːsk/
Malgas,[ˈmɒlɡɒʃ]
geskenk,/χəˈskɛŋk/
samelewing,/ˈsɑː.məˌlɪə̯.vəŋ/
liefdesverhaal,/ˈlif.dəs.fərˌɦaːl/
badjie,"/ˈbɑci ~ ˈbɑi̯ki/"
Kosovaars,/ˌkɔ.soːˈvaːrs/
Poetin,/ˈpu.tɪn/
swanger,/ˈswæŋɚ/
kondoom,/konˈd̥oːm/
skottel,/ˈskɔ.təl/
Noord-Macedonië,/ˌnoːrt.mɑ.səˈdoː.ni.ə/
bessie,/ˈbɛsi/
Baai,/bɑːi̯/
lugballon,/ˈlœχ.baˌlɔn/
provisioneel,/ˌproː.vi.ʒoːˈneːl/
Akkra,[ˈakra]
dokumentêr,/ˌdʊə̯.ky.mɛnˈtɛːr/
boonop,/bʊə̯nˈɔp/
Nigerees,/ˌni.ɣəˈreːs/
seëning,/ˈsɪə̯nəŋ/
riviertjie,/rəˈfiːr.ki/
inentingsveldtog,/ˈən.ɛn.təŋsˌfɛl.tɔχ/
dwaalleer,/ˈdvɑː.lɪə̯r/
laning,/ˈlɑː.nəŋ/
gesiggestremde,/χə.sə.χə.strɛm.də/
huisves,/ˈɦœi̯s.fɛs/
meul,/mɪøl/
voorouer,/ˈvʊə̯rˌœu̯.ər/
blouwalvis,/ˈblœu̯ˌval.fəs/
rotstekening,/ˈrɔtsˌtɪə̯.kə.nəŋ/
veldtog,/ˈfɛl.tɔχ/
sakeman,/ˈsɑː.kəˌman/
erfenisterrein,/ˈɛr.fə.nəs.tɛˌrəi̯n/
spoorlyn,/ˈspʊə̯r.ləi̯n/
hartoorplanting,/ˈɦart.ʊə̯r.plan.təŋ/
sedertdien,/ˌsɪə̯.dər(t)ˈdin/
verskeep,/fərˈskɪə̯p/
fassineer,/ˌfa.siˈnɪə̯r/
sieker,/ˈsi.kər/
hiernatoe,/ˌɦir.naˈtu/
daarnatoe,/ˌdɑːr.naˈtu/
knoflok,/ˈknɔf.lɔk/
tjerrie,/ˈtʃɛ.ri/
tjoef,/tʃuf/
tikkop,/ˈtə.kɔp/
smokkelhuis,/ˈsmɔ.kəlˌɦœi̯s/
smokkie,/ˈsmɔ.ki/
piemp,/pimp/
madressa,/maˈdrɛ.sa/
drywer,/ˈdrəi̯.vər/
treindrywer,/ˈtrəi̯nˌdrəi̯.vər/
werkersklas,/ˈvɛr.kərˌklas/
hoofsaaklik,/ˈɦʊə̯fˌsɑːk.lək/
djulle,/ˈdʒœ.lə/
djaar,/dʒɑːr/
djou,/dʒœu̯/
erosie,/ˌɪə̯ˈrʊə̯.si/
struikelblok,/ˈstrœi̯.kəlˌblɔk/
kolgans,/ˈkɔl.χans/
Eritrees,/ˌeː.riˈtreːs/
versleg,/fərˈslɛχ/
vuurkleur,/ˈfyːrˌklɪør/
vuurklip,/ˈfyːrˌkləp/
draadstrik,/ˈdrɑːt.strək/
vertoonvenster,/fərˈtʊənˌfɛn.stər/
swaartekrag,/ˈsvɑːr.təˌkraχ/
verhoognaam,/fərˈɦʊə̯χˌnɑːm/
kleurvol,/ˈklɪør.fɔl/
onderskeidelik,/ˌɔn.dərˈskəi̯.də.lək/
wetstoepasser,/ˈvɛts.tu.pa.sər/
afgeleë,/ˈaf.χəˌlɪə/
beskeie,/bəˈskəi̯.ə/
tegnologies,/ˌtɛχ.nʊə̯ˈlʊə̯.xis/
werksaam,/ˈvɛrk.sɑːm/
inlei,/ˈən.ləi̯/
syfer,/ˈsəi.fər/
saamstel,/ˈsɑːm.stɛl/
Laubscher,/ˈlœupʃər/
Krige,/ˈkrixə/
Hauptfleisch,/ˈɦoəflis/
Schoeman,/ˈskuman/
Visagie,/fəˈsaːxi/
Viljoen,/fəlˈjun/
Terblanche,/tərˈblaːnʃ/
Nortje,/nɔrˈkeə/
Naudé,/nœuˈdeə/
Meintjes,/ˈməiɲcis/
Malherbe,/malˈɦɛrbə/
Labuschagne,/labusˈkaxnə/
Grové,/xruˈveə/
Fourie,/fuˈri/
Coetzer,/ˈkutsər/
Cilliers,/səlˈjeə/
Blignault,/ˈblɨxnœut/
tranetrekker,/ˈtrɑː.nəˌtrɛ.kər/
seewater,/ˈsɪə̯ˌvɑː.tər/
handgreep,/ˈɦant.χrɪə̯p/
buurvrou,/ˈbyr.frœu̯/
weduwee,/ˈviə̯dyˌviə̯/
wewenaar,/ˈviə̯vəˌnɑːr/
hael,/hɑːl/
