word,ipa
cingu-cingu,/ˈt͡siŋuˈt͡siŋu/
cingull,/ˈt͡sinɡuɫ/
cingem,/ˈt͡siŋɛm/
cungri,/t͡sunˈɡɾi/
cingor,/t͡sinˈɡɔɾ/
cingrimë,/t͡siŋˈɾimə/
cingërimë,/t͡siŋəˈɾimə/
cingroj,/t͡siŋˈɾɔj/
cingëloj,/t͡siŋəˈlɔj/
cingalore,/t͡siŋaˈlɔɾɛ/
cingalor,/t͡siŋaˈlɔɾ/
cingëlare,/t͡siŋəˈlaɾɛ/
cingëlar,/t͡siŋəˈlaɾ/
cingëlane,/t͡siŋəˈlanɛ/
cingëlore,/t͡siŋəˈlɔɾɛ/
cingër,/ˈt͡sinɡəɾ/
pjekacingthi,/pjɛkaˈt͡siŋθi/
shkopacingël,/ʃkopaˈt͡siŋəl/
shkopacingthi,/ʃkopaˈt͡siŋθi/
cingulapjekthi,/t͡siŋulaˈpjɛkθi/
cinglazi,/ˈt͡siŋlazi/
cingth,/t͡siŋθ/
cingthi,/ˈt͡siŋθi/
cingëlthi,/ˈt͡siŋəlθi/
cingul,/ˈt͡siŋul/
cingëliq,/t͡sinɡəˈlic͡ɕ/
çingo,/ˈt͡sinɡo/
çingë,/ˈt͡sinɡə/
cingo,/ˈt͡sinɡo/
cengë,/ˈt͡sɛnɡə/
cingë,/ˈt͡sinɡə/
cingëliqe,/t͡sinɡəˈlic͡ɕɛ/
cingërlaqe,/t͡sinɡəɾˈlac͡ɕɛ/
xungare,/d͡zunˈɡaɾɛ/
ciganë,/t͡siˈɡanə/
cingremë,/t͡siŋˈɾɛmə/
cingare,/t͡sinˈɡaɾɛ/
qimez,/ˈciməz/
qimëz,/ˈciməz/
cinë,/ˈt͡sinə/
cime,/ˈt͡simɛ/
cimbull,/ˈt͡simbuɫ/
pipëz,/ˈpipəz/
vërë,/ˈvɛɾə/
cimël,/ˈt͡siməl/
sqepth,[scɕɛpθ]
cmakth,/t͡smakθ/
cmak,/t͡smak/
cilore,/t͡siˈlɔɾɛ/
silloj,/siˈɫɔj/
ciqe,/ˈt͡sicɛ/
xhëgonë,/d͡ʒəˈɡɔnə/
xëllonë,/d͡zəˈɫɔnə/
nxilonë,/nd͡ziˈlɔnə/
xilonë,/d͡ziˈlɔnə/
cilonë,/t͡siˈlɔnə/
cëke,/ˈt͡sɛkə/
