word,ipa
أضحية,/ʔudˤ.ħij.ja/
منكسفة,/mun.ka.si.fa/
مؤخرة,/mu.ʔax.xa.ra/
ناقد,/naː.qid/
نقاد,/naq.qaːd/
رداءة,/ra.daː.ʔa/
إد,/ʔidd/
منشق,/mun.ʃaqq/
شان,/ʃaːn/
لئن,/la.ʔin/
فاسية,/faː.si.ja/
دوبيت,/duː.bajt/
نيروز,/naj.ruːz/
نوروز,/naw.ruːz/
حيل,/ħiː.la/
تجميد,/tad͡ʒ.miːd/
كورن,/kaw.ran/
تنبور,/tun.buːr/
تنبال,/tin.baːl/
متل,/mi.tall/
تليل,/ta.liːl/
أماط,/ʔa.maː.tˤa/
تموج,/ta.maw.wa.d͡ʒa/
تلعة,/tal.ʕa/
متلفة,/mat.la.fa/
متلاف,/mit.laːf/
ددا,/da.dan/
ددن,/da.dan/
دد,/dad/
ذائب,/ðaː.ʔib/
أحن,/ʔaħ.nu/
أحاح,/ʔu.ħaːħ/
إجل,/ʔid͡ʒl/
أوغاريت,/ʔuː.ɣaː.riːt/
ذوبان,/ða.wa.baːn/
قاطبة,/qaː.tˤi.ba.tan/
هشيم,/ha.ʃiːm/
جناحية,/d͡ʒa.naː.ħij.ja/
اشتاق,/iʃ.taː.qa/
واصل,/waː.sˤel/
دوكمة,/daw.ka.ma/
أشينة,/ʔa.ʃiː.na/
مديني,/ma.diː.nijj/
قرمطي,/qar.ma.tˤijj/
شرطي,/ʃar.ri.tˤiː/
حلواني,/ħal.waː.nijj/
حرامي,/ħa.raː.mijj/
حامي,/ħaː.miː/
جواهري,/d͡ʒa.waː.hi.rijj/
جندي,/d͡ʒun.dijj/
تكفيري,/tak.fiː.rijj/
بلطجي,/bal.tˤa.d͡ʒijj/
أكسفورد,/ʔuksfuːrd/
أكسفوردي,/ʔuksfuːr.diː/
استنكف,/is.tan.ka.fa/
أبستاق,/ʔa.bis.taːq/
واسع,/waː.siʕ/
هادئ,/haː.diʔ/
غامق,/ɣaː.miq/
شهير,/ʃa.hiːr/
شاسع,/ʃaː.siʕ/
سلس,/sa.lis/
رفيع,/ra.fiːʕ/
تام,/taːmm/
أوتوماتيكي,/ʔu.tu.maː.tiː.kijj/
أوروبي,/ʔuː.rub.bijj/
ليل,/liːl/
ليختنشتاين,/leːx.tinʃtaːjn/
لوكسمبورغ,/luk.sum.burɡ/
كلام,/ka.laːm/
قصرمل,/qusˤ.ru.mill/
قرموط,/qur.muːtˤ/
فيينتيان,/fi.jiːn.ti.jaːn/
فيانتيان,/fi.jaːn.ti.jaːn/
فلمنك,/fa.la.mank/
ششبرك,/ʃuʃ.ba.rak/
شبت,[ʃæˈbæt]
سلفادور,/sal.faː.duːr/
ديدحان,/daj.da.ħaːn/
دقوس,/daq.quːs/
خرنوب,/xar.nuːb/
خاركيف,/xaːr.kiːf/
خاركوف,/xaːr.kuːf/
تشيستوخوفا,/tʃiːs.tuː.xuː.faː/
ترامب,/ti.raːmb/
تراث,/tu.raːθ/
بنسلفينيا,/bin.sil.fiːn.jaː/
بقدونس,/baq.duː.nis/
