word,ipa
եղբայրասպան,/jeχpɑjɾɑsˈpɑn/
ադալաթ,/ɑdɑˈlɑtʰ/
ազան,/ɑˈzɑn/
մաթրիքս,/mɑtʰˈɾikʰs/
տանտուն,/tɑnˈtun/
Իսլանտա,/isˈlɑndɑ/
Ալասքա,/ɑlɑsˈkʰɑ/
ղամիշ,/ʁɑˈmiʃ/
ղամուշ,/ʁɑˈmuʃ/
կալանել,/kɑlɑˈnel/
կալանավոր,/kɑlɑnɑˈvoɾ/
ցուցադրություն,/t͡sʰut͡sʰɑdɾuˈtʰjun/
դեղել,/deˈʁel/
յուղանկարել,/juʁɑnəkɑˈɾel/
յուղանկարիչ,/juʁɑnəkɑˈɾit͡ʃʰ/
յուղանկար,/juʁɑnəˈkɑɾ/
ծորում,/t͡soˈɾum/
վերաձևակերպել,/veɾɑd͡zevɑkeɾˈpel/
ձևակերպել,/d͡zevɑkeɾˈpel/
բանաձևել,/bɑnɑd͡zeˈvel/
հրացանավոր,/həɾɑt͡sʰɑnɑˈvoɾ/
պոչավոր,/pot͡ʃʰɑˈvoɾ/
գծավոր,/ɡət͡sɑˈvoɾ/
շերտավոր,/ʃeɾtɑˈvoɾ/
զոլավոր,/zolɑˈvoɾ/
զոլ,/zol/
հաջորդաբար,/hɑd͡ʒoɾtʰɑˈbɑɾ/
իծաշարուկ,/it͡sɑʃɑˈɾuk/
հավալա,/hɑvɑˈlɑ/
հղկաքար,/həχkɑˈkʰɑɾ/
ծածկապատճեն,/t͡sɑt͡skɑpɑtˈt͡ʃen/
լուսապատճեն,/lusɑpɑtˈt͡ʃen/
պատճենահանել,/pɑtt͡ʃenɑhɑˈnel/
լուծարք,/luˈt͡sɑɾkʰ/
մետրանոց,/metɾɑˈnot͡sʰ/
կրկնամուսնություն,/kəɾknɑmusnuˈtʰjun/
երկամուսնություն,/jeɾkɑmusnuˈtʰjun/
կրկնամուսին,/kəɾknɑmuˈsin/
երկամուսին,/jeɾkɑmuˈsin/
կրկնապատկել,/kəɾknɑpɑtˈkel/
երկակի,/jeɾkɑˈki/
բաղադրություն,/bɑʁɑdɾuˈtʰjun/
արյունալի,/ɑɾjunɑˈli/
արյունահեղ,/ɑɾjunɑˈheʁ/
մանել,/mɑˈnel/
խաչել,/χɑˈt͡ʃʰel/
ուռուցիկ,/uruˈt͡sʰik/
բազմանկյուն,/bɑzmɑnˈkjun/
քառանկյուն,/kʰɑrɑnˈkjun/
տասնյոթանկյուն,/tɑsnəjotʰɑnˈkjun/
տասներեքանկյուն,/tɑsneɾekʰɑnˈkjun/
տասներկուանկյուն,/tɑsneɾkuɑnˈkjun/
տասնմեկանկյուն,/tɑsnəmekɑnˈkjun/
տասնանկյուն,/tɑsnɑnˈkjun/
իննանկյուն,/innɑnˈkjun/
ութանկյուն,/utʰɑnˈkjun/
յոթանկյուն,/jotʰɑnˈkjun/
պենտագոն,/pentɑˈɡon/
հնգանկյուն,/hənɡɑnˈkjun/
զգայուն,/zɡɑˈjun/
քաջառողջ,/kʰɑd͡ʒɑˈroχt͡ʃʰ/
համամ,/hɑˈmɑm/
համեմ,/hɑˈmem/
պրեմիերա,/pɾemieˈɾɑ/
հարավ-արևելք,"/hɑˈɾɑv ɑɾeˈvelkʰ/"
հարավ-արևմուտք,"/hɑˈɾɑv ɑɾevˈmutkʰ/"
