word,ipa
জ়ু,/zu/
মল,/mɔl/
রাবড়ি,/rabɽi/
উচ্চার,/ut͡ʃːaɾ/
গ্রহণ,/ɡɾohon/
মিষ্টান্ন,/miʃʈanːo/
মাত্রা,/mat̪ɾa/
সস,/ʃɔs/
ভৌমিক,/bʱou̯mik/
লায়লা,/lae̯la/
গন্ধসার,/ɡɔnd̪ʱɔʃaɾ/
আগরতলা,/aɡɔɾt̪ɔla/
সরকান্দা,/ʃɔɾkand̪a/
পাতিল,/pat̪il/
গুগগুল,/ɡuɡːul/
তাপগতিবিজ্ঞান,/t̪apɡɔt̪ibiɡːæ̃n/
পড়ানো,/pɔɽano/
সৌরবিদ্যুৎ,/ʃouɾobid̪ːut/
দক্ষ,/d̪ɔkʰːo/
ব-দ্বীপ,/bɔd̪ip/
বাস্তব,/bast̪ɔb/
বিদ্বেষ,/bid̪.d̪eʃ/
দরিদ্র,/d̪oɾid̪ɾo/
বেআইনি,/beai̯ni/
বদভ্যাস,/bɔd̪obʱːaʃ/
যুক্তিহীন,/d͡ʒukt̪ihin/
অবৈধ,/ɔ.bɔɪd.ɦɔ/
অভ্যাস,/ɔɪb.bʱax/
ক্ষেপণাস্ত্র,/kʰe.po.nas.t̪ɾo/
দেও,/deo̯/
কার্যালয়,/kaɾ.d͡ʒa.lɔe̯/
বর্জ্য,/bɔɾ.d͡ʒo/
নির্মাণাধীন,/niɾ.ma.na.d̪ʱin/
ভবন,/bʱɔ.bon/
রাজনৈতিক,/ɾad͡ʒ.noi̯.t̪ik/
বরাদ্দ,/bɔ.ɾad̪.d̪o/
কনস্টান্টিনোপল,/kɔnsʈanʈinopol/
খোঁজ,/kʰõd͡ʒ/
উদবিড়াল,/ud̪biɽal/
বাঞ্ছা,/bɑnt͡ʃʰɑ/
কোথা,/kot̪ʰa/
ভয়ংকর,/bʱɔe̯oŋkɔɾ/
রোগী,/roɡi/
ওকালতি,/ʊ.ka.lɔ.ti/
বিচারালয়,/bit͡ʃaɾaloe/
খোশবিয়ান,/kʰoʃbi̯an/
বায়ুমণ্ডল,/bae̯umɔnɖol/
বৈপ্লবিক,/boi̯plobik/
টাহা,/ʈa.ha/
জগাতি,/d͡ʒɔɡat̪i/
ঙাপ্পি,/ŋapːi/
নৈকট্য,/noi̯koʈːo/
স্নায়ুবিদ্যা,/snae̯ubid̪ːa/
স্নায়ুতত্ত্ব,/snae̯ut̪ɔt̪ːo/
স্নায়ুচিকিৎসাবিজ্ঞান,/snae̯ut͡ʃikit̪sabiɡːæ̃n/
পল্লী,/pɔlːi/
মানবাধিকার,/manɔbad̪ʱikaɾ/
পাঠক,/paʈʰɔk/
প্রত্ন,/pɾot̪no/
পুরাতত্ত্ব,/puɾat̪ɔt̪ːo/
প্রেতাত্মা,/pɾet̪at̪ːa/
ফ্লাক্স,/flaks/
প্রবাহ,/pɾobaho/
তাপপ্রবাহ,/t̪apɔpɾobaho/
অলি,/oli/
কুঞ্জ,/kund͡ʒo/
সেরা,/ʃeɾa/
মুখতসর,/mukʰt̪ɔʃɔɾ/
বঙ্গভঙ্গ,/bɔŋɡɔbʱɔŋɡo/
জন্মভূমি,/d͡ʒɔnmɔbʱumi/
কর্তৃকারক,/kɔɾt̪ɾikaɾɔk/
কোল,/kol/
আঁচ,/ãs/
সায়াহ্ন,/ʃae̯anːho/
অপরাহ্ণ,/ɔpɔɾanho/
যফলা,/d͡ʒɔfɔla/
