word,ipa
gourfennañ,/ɡurˈfɛnːã/
leat,/liːt/
prof,/pɹɑf/
krouadur,/kru.ˈɑː.dyr/
Parizianez,/pa.ri.ˈzjãː.nes/
Parizian,/pariˈzjãn/
park,/pɑɹk/
eneb,/ˈẽːnep/
leur,/ˈløːr/
danvez,/ˈdãn.vɛs/
Akitania,/akitania/
rastell,/ˈrastɛl/
lein,/ˈlɛjn/
koan,/ˈkəʊ.ɑːn/
kog,/koːk/
forn,[ˈforn]
luc'hed,/ˈlyːɣet/
leun,/leu̯n/
skourr,/ˈskuːr/
bezv,/ˈbɛ(z)w/
arouez,/ˈaʁwes/
diwezh,/ˈdiwːɛ(s)/
vi,"/ˌviː ˈaɪ/"
boc'h,/ˈbɔːx/
gweuz,/ˈɡwøːs/
abrant,/ˈa.brãnt/
tal,/ˈtɑːl/
empenn,/ˈẽm.pɛn/
mat,/mæt/
aerouant,/aɛʁ.wãnt/
gwalc'h,/ɡwalχ/
Benás,/beˈnas/
a,/a/
Ploulec'h,/pluˈlɛx/
mein,/maɪ̯n/
etresteredennek,/e.tre.ste.re.ˈdɛnː.ek/
kraou,/ˈkrɔw/
berañ,/bɛ.rãn/
saotrañ,/ˈsawtrã/
morvleiz,/ˈmor.vlɛjs/
triskell,/tʁis.kɛl/
diwiskañ,/diˈɥiskã/
koc'h,/ˈkoːx/
neuñviñ,/ˈnœ̃ː.vĩ/
donemat,/ˌdɔ̃neˈmɑːt/
Provañs,/proˈvãs/
preder,/ˈpʁeː.dɛʁ/
soñjal,/ˈsɔ̃ː.ʒal/
aval-douar,"/ɑː.val ˈduː.ɑʁ/"
dañsal,/ˈdɑ̃ːsal/
Borduria,/borduˈria/
mouezh,/ˈmweːs/
Elouan,/eˈluːãn/
planedenn,/plãˈneː.dɛn/
atav,/aˈtaw/
madelezh,/ma.ˈdɛː.lɛs/
skañv,/skɑ̃(w)/
fiñvus,/ˈfĩːvys/
fiñval,/ˈfĩː.val/
dichadennañ,/diʃaˈdɛnːã/
chadennañ,/ʃaˈdɛnːã/
chadenn,/ˈʃɑːdɛn/
amezegez,/ã.meˈzeː.ɡes/
amezeg,/ãˈmeːzek/
buanegezh,/byãˈneːɡɛs/
taeroni,/tɛˈrɔ̃ːni/
tostoni,/tɔsˈtɔ̃ːni/
gavr-vor,/ɡawrˈvoːr/
grilh-mor,/ɡriʎˈmoːr/
prizius,/ˈpri.zjys/
evezhiadenn,/eveˈzjɑːdɛn/
rannig-verb,/rãniɡˈvɛrp/
atomek,/aˈtɔmː.ek/
neutronek,/nøˈtrɔ̃ː.nɛk/
pouezañ,/ˈpweːzã/
pouez,/ˈpweːs/
eizik,/ˈɛj.zik/
tolz,/ˈtɔls/
kentanv,/kẽnˈtãːno/
anv-badez,/ãnwˈbɑːdes/
moranv,/ˈmorãnw/
