word,ipa
příkrasa,[ˈpr̝̊iːkrasa]
tupost,[ˈtupost]
Juliš,[ˈjulɪʃ]
rachejtle,[ˈraxɛjtlɛ]
Osvald,[ˈosvalt]
Prekop,[ˈprɛkop]
Pinkas,[ˈpɪŋkas]
Kachlíř,[ˈkaxliːr̝̊]
woe,/wəʊ/
tryzna,[ˈtrɪzna]
vzkvět,[ˈfskvjɛt]
Sklenička,[ˈsklɛɲɪt͡ʃka]
šasi,[ˈʃasɪ]
Trefný,[ˈtrɛfniː]
Lampa,[ˈlampa]
Pančík,[ˈpant͡ʃiːk]
přizvat,[ˈpr̝̊ɪzvat]
zespod,[ˈzɛspot]
zespodu,[ˈzɛspodu]
tolar,[ˈtolar]
mělněný,[ˈmɲɛlɲɛniː]
mělnit,[ˈmɲɛlɲɪt]
gagát,[ˈɡaɡaːt]
prošetřovat,[ˈproʃɛtr̝̊ovat]
prošetřit,[ˈproʃɛtr̝̊ɪt]
čtyřčlenný,[ˈt͡ʃtɪr̝̊t͡ʃlɛniː]
sedmiramenný,[ˈsɛdmɪramɛniː]
nachýlit,[ˈnaxiːlɪt]
malování,[ˈmalovaːɲiː]
kuchyň,[ˈkuxɪɲ]
zlatokopka,[ˈzlatokopka]
Europa,/jʊˈɹoʊpə/
briketa,[ˈbrɪkɛta]
Franky,[ˈfraŋkɪ]
exozom,[ˈɛɡzozom]
levirát,[ˈlɛvɪraːt]
Bamberk,[ˈbambɛrk]
textilie,[ˈtɛkstiːlɪjɛ]
nevypraný,[ˈnɛvɪpraniː]
vypraný,[ˈvɪpraniː]
netkaný,[ˈnɛtkaniː]
asystolie,[ˈasɪstolɪjɛ]
hlásný,[ˈɦlaːsniː]
peckový,[ˈpɛt͡skoviː]
peskovat,[ˈpɛskovat]
chlubivý,[ˈxlubɪviː]
žertovně,[ˈʒɛrtovɲɛ]
kolař,[ˈkolar̝̊]
Kolářík,[ˈkolaːr̝iːk]
tyjátr,[ˈtɪjaːtr̩]
Štika,[ˈʃcɪka]
polt,[ˈpolt]
rozpoltit,[ˈrospolcɪt]
poltit,[ˈpolcɪt]
Frič,[ˈfrɪt͡ʃ]
adventismus,[ˈadvɛntɪzmus]
adventista,[ˈadvɛntɪsta]
Šoukal,[ˈʃou̯kal]
blboun,[ˈbl̩bou̯n]
Lorenz,/ləˈɹɛnz/
Ulvr,[ˈulvr̩]
Joachymstál,[ˈjoaxɪmstaːl]
Nikolajev,[ˈɲɪkolajɛf]
chajda,[ˈxajda]
hamoun,[ˈɦamou̯n]
Skřivánek,[ˈskr̝̊ɪvaːnɛk]
Skřivan,[ˈskr̝̊ɪvan]
grázl,[ˈɡraːzl̩]
vr,[ˈvrːː]
abonent,[ɑbɑˈnent]
Lněnička,[ˈlɲɛɲɪt͡ʃka]
navléknout,[ˈnavlɛːknou̯t]
navléct,[ˈnavlɛːt͡st]
přilákat,[ˈpr̝̊ɪlaːkat]
Dlabola,[ˈdlabola]
Bulis,[ˈbulɪs]
Černický,[ˈt͡ʃɛrɲɪt͡skiː]
Cejp,[ˈt͡sɛjp]
Čevela,[ˈt͡ʃɛvɛla]
rozehrávač,[ˈrozɛɦraːvat͡ʃ]
Půlpán,[ˈpuːlpaːn]
Šofr,[ˈʃofr̩]
Drmola,[ˈdr̩mola]
Pezda,[ˈpɛzda]
Javůrek,[ˈjavuːrɛk]
vychloubat,[ˈvɪxlou̯bat]
souhlasně,[ˈsou̯ɦlasɲɛ]
chlípný,[ˈxliːpniː]
vilný,[ˈvɪlniː]
Krč,[ˈkr̩t͡ʃ]
tiramisu,/ˌtɪɹəmɪˈsuː/
Písař,[ˈpiːsar̝̊]
Plavec,[ˈplavɛt͡s]
zpáteční,[ˈspaːtɛt͡ʃɲiː]
nápojový,[ˈnaːpojoviː]
palubní,[ˈpalubɲiː]
letecky,[ˈlɛtɛt͡skɪ]
ovdovělý,[ˈovdovjɛliː]
Bobrava,[ˈbobrava]
Blšanka,[ˈbl̩ʃaŋka]
Bílina,[ˈbiːlɪna]
Bečva,[ˈbɛt͡ʃva]
Malše,[ˈmalʃɛ]
Lučina,[ˈlut͡ʃɪna]
Loučná,[ˈlou̯t͡ʃnaː]
Lomnice,[ˈlomɲɪt͡sɛ]
Haná,[ˈɦana]
Želetavka,[ˈʒɛlɛtafka]
Výrovka,[ˈviːrofka]
Volyňka,[ˈvolɪɲka]
Vlkava,[ˈvl̩kava]
Velička,[ˈvjɛlɪt͡ʃka]
Úslava,[ˈuːslava]
Úpa,[ˈuːpa]
Úhlavka,[ˈuːɦlafka]
Třebovka,[ˈtr̝̊ɛbofka]
Trkmanka,[ˈtr̩kmaŋka]
Teplá,[ˈtɛplaː]
Svitava,[ˈsvɪtava]
Stropnice,[ˈstropɲɪt͡sɛ]
Šlapanka,[ˈʃlapaŋka]
Skalice,[ˈskalɪt͡sɛ]
Romže,[ˈromʒɛ]
Ostravice,[ˈostravɪt͡sɛ]
Olšava,[ˈolʃava]
Novohradka,[ˈnovoɦratka]
Mrlina,[ˈmr̩lɪna]
Metuje,[ˈmɛtujɛ]
Kyjovka,[ˈkɪjofka]
Klejnárka,[ˈklɛjnaːrka]
Klabava,[ˈklabava]
Jevišovka,[ˈjɛvɪʃofka]
Doubrava,[ˈdou̯brava]
Cidlina,[ˈt͡sɪdlɪna]
Berounka,[ˈbɛrou̯ŋka]
Rolava,[ˈrolava]
Oleška,[ˈolɛʃka]
Zdobnice,[ˈzdobɲɪt͡sɛ]
Opavice,[ˈopavɪt͡sɛ]
Vlára,[ˈvlaːra]
Stěnava,[ˈscɛnava]
Osoblaha,[ˈosoblaɦa]
Lubina,[ˈlubɪna]
