word,ipa
pipeline,/ˈpaɪpˌlaɪn/
alabaster,/ˈæl.əˌbɑːs.tə/
kuling,/ˈkʉːlˌɪŋ/
bukke,[ˈbɔɡə]
dølgsmål,[ˈdølˀsˌmɔˀl]
undsætte,[ˈɔnˌsɛdə]
producent,/ˌproː.dyˈsɛnt/
gebis,/ɡɛˈbis/
unddrage,[ˈɔnˌdʁɑˀwə]
traktat,/ˈtraktat/
galdre,[ˈɡalʁʌ]
galder,[ˈɡalˀʌ]
skorsten,/²skɔʂteːn/
alibi,/ˈæl.ə.baɪ/
detektiv,[ˈdɛtɛktɪf]
patos,"/paˈtos/ [paˈtos]"
pudder,/ˈpʌdə(ɹ)/
"annus horribilis","/ˈænəs həˈɹɪbɪlɪs/"
immobilisation,-eɪʃən
immobil,/ɪˈmobiːl/
uren,/ˈyrə(n)/
banal,/bəˈnɑːl/
turs,-ʉːʂ
spontan,[spɔnˈtan]
-iv,/iv/
instinkt,[ˈɪnstɪŋkt]
instinktiv,/ɪnstɪŋkˈtiːf/
kreativ,[ˈkʁɛaˌtiwˀ]
opfindsom,[ʌbˈfenˀˌsʌmˀ]
atrium,/ˈeɪ.tɹi.əm/
hedonist,/ˈhɛdənɪst/
hedonisme,/hedoˈnismə/
flop,/flɒp/
genstride,[ˈsd̥ʁiːðə]
balance,/ˈbæləns/
ransel,/ˈrɑn.səl/
brushane,/ˌbrʉːsˈhɑːnɛ/
bister,[ˈb̥ɪstɐ]
brysk,/ˈbrɘsk/
begærlig,[beˈɡɛɐ̯ˀli]
passé,/ˈpæ.seɪ/
"au pair","/əʊ ˈpɛə/"
faglig,[ˈfɑwli]
glaukom,[ˈɡlau̯kom]
katarakt,[ˈkatarakt]
katafalk,[ˈkatafalk]
pink,/pɪŋk/
variation,/ˌvɛəɹɪˈeɪʃn̩/
svæve,[ˈsvɛːvə]
glide,/ˈɡlaɪd/
anekdote,/ˌaː.nɛkˈdoː.tə/
hvæs,/kʰvaiːs/
driftig,/ˈdrɪf.təx/
foretagsom,[fɒɒˈtæˀjˌsʌmˀ]
movere,[mɔˈweː.rɛ]
skildring,/²ɧɪldrɪŋ/
skildre,[ˈsɡeldʁʌ]
svælge,[ˈsvɛljə]
promotion,/pɹəˈməʊʃn̩/
pro-,/pɹəʊ/
re-,/ɹiː/
inert,/ɪnˈɜːt/
ineffektiv,/ˈɪnʔɛfɛktiːf/
S,/ɛs/
T,"[tɑː, ɑttɑː]"
L,/ɛl/
D,/d/
K,/keɪ/
brav,[ˈbraf]
forgive,/fə(ɹ)ˈɡɪv/
tækkelig,[ˈtɛɡəli]
overdrive,/ˌəʊvə(ɹ)ˈdɹaɪv/
repræsentativ,[ʁɛˈpʁɛsəntaˌtiwˀ]
souvenir,/ˌsuːvəˈnɪə/
undervurdere,/ˈʉ̂nːɛɾ.ʋʉɾdˌeːɾɛ/
spange,/speɪnd͡ʒ/
spang,/spæŋ/
mangrove,/ˈmæŋɡɹəʊv/
negligere,[neɡliˈɕeˀʌ]
ol,/øl/
brase,[ˈbʁɑːsə]
befæste,/beˈfæs.te/
befæstning,[beˈfɛsdneŋ]
prosit,/ˈpɹəʊzɪt/
relikt,/ˈrɛ.likt/
relikvie,[ˈrɛlɪkvɪjɛ]
isse,[ˈiːs.sɛ]
cirkus,[ˈt͡sɪrkus]
smelte,[ˈsmɛl.d̥ə]
journal,/ˈd͡ʒɝnəl/
Kosovo,/ˈkɒsəvə/
aktionær,[ɑɡɕoˈnɛˀɐ̯]
pigesur,/ˈpiːə.sur/
fidus,[ˈfiː.dʊs]
kogle,[ˈkɒwlə]
mental,/ˈmɛn.təl/
tekstur,/ˈtɛkstʊr/
substantiel,/syp.stɑ̃.sjɛl/
dikotomi,[diɡotoˈmiˀ]
muligvis,[ˈmuːliˈviˀs]
hænde,/hɛnə/
kostbar,/ˈkɔstbaːɐ̯/
pur,[ˈpur]
puré,/ˈpjʊə(ɹ)/
