word,ipa
lleísmo,/ʎeˈismo/
desdeñás,[des.deˈɲas]
latinx,/latiˈnekis/
Gumersindo,/ɡu.meɾˈsin.do/
isofacto,/ˌisoˈfaɡto/
talit,/ˈta.lit/
kionda,/ˈkjonda/
fonetización,/fonetiθaˈθjon/
declinable,/dɪˈklaɪnəbəɫ/
antiobrero,/ˌantioˈbɾeɾo/
antirreformista,/ˌɐ̃.t͡ʃi.ʁe.foʁˈmis.tɐ/
posicionalmente,/posiθjoˌnalˈmente/
a,"<span class=""orth-brac"">⟨</span><span class=""orth-content""><a rel=""mw:WikiLink"" href=""./%C9%91"" title=""ɑ"">ɑ</a></span><span class=""orth-brac"">⟩</span>"
intinción,/intinˈθjon/
puebla,/ˈpwebla/
-res,/res/
-ra,/ra/
vosotres,/boˈsotɾes/
elle,/ˈɛlːe/
elles,[ˈe.ʎəs]
sushiería,/suʃjeˈɾia/
txirulari,/t͡ʃiɾuˈlaɾi/
chirula,/t͡ʃiˈɾula/
txirula,/t͡ʃiˈɾula/
txalapartero,/t͡ʃalapaɾˈteɾo/
txalapartari,/t͡ʃalapaɾˈtaɾi/
txalaparta,/t͡ʃalaˈpaɾta/
chalaparta,/t͡ʃalaˈpaɾta/
chistulari,/t͡ʃistuˈlaɾi/
chistu,[ˈki.ʃt̪u]
tuyango,/tuˈʝanɡo/
tabuyayá,/tabuʝaˈʝa/
mbaguarí,/mbaɡwaˈɾi/
maguari,/maˈɡwaɾi/
baguarí,/baɡwaˈɾi/
backné,/baɡˈne/
bacné,/baɡˈne/
oe,/oʊ/
xenogénero,/ˌsenoˈxeneɾo/
fada,/ˈfɑːdə/
euxenita,/ewk.seˈni.tɐ/
poluto,/poˈluto/
kelvin,/ˈkɛlvɪn/
ingaturroña,/inɡatuˈroɲa/
when,/ʍɛn/
lit,/ˈlɪt/
Carabanchel,/kaɾabanˈt͡ʃel/
oncena,/onˈθena/
onzavo,/onˈθabo/
Pendejerú,/pendexeˈɾu/
alfetamina,/alfetaˈmina/
hiperclorhidria,/ipeɾkloˈɾidɾja/
aclorhidria,/akloˈɾidɾja/
posvesical,/posbesiˈkal/
retrovesical,/retɾobesiˈkal/
paracistitis,/paɾaθisˈtitis/
quilocele,/kiloˈθele/
awebo,/aˈwebo/
potaxio,/poˈtaɡsjo/
MNOAL,/emnoˈal/
webón,/w̝eˈbon/
apsara,/ap.sa.ra/
enodio,/eˈnodjo/
ñuño,/ˈɲuɲo/
Providencia,/pɾobiˈdenθja/
CCU,"/ˌθe ˌθe ˈu/"
cañahua,/kaˈɲawa/
cañihua,/kaˈɲiwa/
retrecha,/reˈtɾet͡ʃa/
retrechar,/retɾeˈt͡ʃaɾ/
picagallina,/ˌpikaɡaˈʝina/
álsine,/ˈalsine/
Bergoglio,/berˈɡɔʎ.ʎo/
secluso,/seˈkluso/
comegambas,/ˌkomeˈɡambas/
pornocrático,/ˌpɔɾˌnɔˈkɾatiko/
jódete,/ˈxodete/
pornocracia,/poʁ.no.kɾaˈsi.ɐ/
etacismo,/e.taˈt͡ʃiz.mo/
acmeísta,/aɡmeˈista/
-crático,/ˈkɾatiko/
hierofanía,/ʝeɾofaˈnia/
lambdacismo,/lamb.daˈt͡ʃiz.mo/
