word,ipa
signaal,/sɪnˈaːl/
igrek,/ˈiɡ̊rek/
üpsilon,/ˈypsilon/
päikeseprillid,/ˈpæi̯keseˌprilˑid̥/
sidrunhape,/ˈsid̥runˌhɑpe/
kraanikauss,/ˈkrɑˑniˌkɑu̯sː/
põhjatuul,/ˈpɤhjɑˌtuːl/
kaaluma,/ˈkɑːlumɑ/
folkloorne,/folˈkloːrne/
vasakum,/ˈvɑsɑkum/
pahem,/ˈpɑhem/
ööbima,/ˈøːb̥imɑ/
kohusetundlikult,/ˈkohuseˌtund̥likult/
investeerima,/invesˈteˑrimɑ/
koolidevaheline,/ˈkoˑlid̥eˌvɑheline/
rikkumine,/ˈrikːumine/
habemeajamiskreem,/ˈhɑb̥emeˌɑjɑmisˌkreːm/
kaebama,/ˈkɑe̯b̥ɑmɑ/
kõrtsmik,/ˈkɤrtsmik/
ligikaudu,/ˈliɡ̊iˌkɑu̯d̥u/
abipalve,/ˈɑb̥iˌpɑlve/
mõistus,/ˈmɤi̯stus/
ilmalik,/ˈilmɑlik/
tõrvama,/ˈtɤrvɑmɑ/
omakasuline,/ˈomɑˌkɑsuline/
jumalamees,/ˈjumɑlɑˌmeːs/
fraas,/ˈfrɑːs/
näkku,/ˈnækːu/
lükantroopia,/lykɑnˈtroːpiɑ̯/
tudeng,/ˈtud̥enɡ̊/
vanahärra,/ˈvɑnɑˌhærˑɑ/
diktofon,/ˈd̥iktoˌfon/
joonlaud,/ˈjoːnˌlɑu̯d̥/
bardakk,/b̥ɑrˈd̥ɑkː/
tennisist,/tenˑiˈsist/
lauatennisist,/ˈlɑu̯ɑˌtenˑiˌsist/
lauatennis,/ˈlɑu̯ɑˌtenˑis/
pärl,/ˈpærl/
laudlina,/ˈlɑu̯d̥ˌlinɑ/
lõhnama,/ˈlɤhnɑmɑ/
lepatriinu,/ˈlepɑˌtriːnu/
kõmri,/ˈkɤmri/
Põhja-Makedoonia,/ˈpɤhjɑˌmɑkeˌd̥oːni.ɑ/
miilmõõt,/ˈmiːlˌmɤːt/
ruutmiil,/ˈruːtˌmiːl/
meremiil,/ˈmereˌmiːl/
maamiil,/ˈmɑːˌmiːl/
Sillamäe,/ˈsilːɑmæe̯/
Maardu,/ˈmɑːrd̥u/
Kuressaare,/ˈkuresˌsɑːre/
taimekaitsemürk,/ˈtɑi̯me(ˌ)kɑi̯tseˌmyrk/
puhkema,/ˈpuhkemɑ/
Kõmrimaa,/ˈkɤmriˌmɑː/
vettima,/ˈvetˑimɑ/
kohviistandus,/ˈkohviˌistɑnd̥us/
intuitiivne,/intui̯ˈtiːvne/
murd,/ˈmurd̥/
termokeemia,/ˈtermoˌkeːmiɑ̯/
teemaväline,/ˈteˑmɑˌvæline/
kuuldeaparaat,/ˈkuːld̥eˌɑpɑˌrɑːt/
rahvusvaheliselt,/ˈrɑhvusˌvɑheliselt/
hüään,/hyˈæːn/
muskuspart,/ˈmuskusˌpɑrt/
idanema,/ˈid̥ɑnemɑ/
keskpärasus,/ˈkesk(ˌ)pærɑsus/
konservatiivsus,/konservɑtˈtiːvsus/
väravavaht,/ˈværɑvɑˌvɑht/
lakkuma,/ˈlɑkːumɑ/
tökat,/ˈtøkɑt/
Virumaa,/ˈviruˌmɑː/
ädal,/ˈæd̥ɑl/
konkurss,/ˈkonkursː/
kalapulk,/ˈkɑlɑˌpulk/
vihmamets,/ˈvihmɑˌmets/
puuviljavein,/ˈpuː(ˌ)viljɑˌvei̯n/
trepp,/ˈtrepː/
transseksuaalsus,/ˈtrɑnsˌseksuˈɑːlsus/
homoabielu,/ˈhomoˌɑb̥i(ˌ)elu/
geiabielu,/ˈɡ̊ei̯ˌɑb̥i(ˌ)elu/
riisipõld,/ˈriˑsiˌpɤld̥/
kuningkobra,/ˈkuninɡ̊ˌkob̥rɑ/
puuviljasalat,/ˈpuː(ˌ)viljɑˌsɑlɑt/
tolmuhari,/ˈtolmuˌhɑri/
laulik,/ˈlɑu̯lik/
suht-koht,/ˈsuhtˌkoht/
ülane,/ˈylɑne/
äsja,/ˈæsjɑ/
väljakutse,/ˈvæljɑˌkutse/
kubel,/ˈkub̥el/
vundament,/ˈvund̥ɑmenʲt/
Selg,/ˈselɡ̊/
Sekk,/ˈsekː/
Savik,/ˈsɑvik/
Saviauk,/ˈsɑviɑ̯uk/
Sarapuu,/ˈsɑrɑpuː/
Sarapu,/ˈsɑrɑpu/
Sarap,/ˈsɑrɑp/
Samm,/ˈsɑmː/
Saluri,/ˈsɑluri/
Saluorg,/ˈsɑluo̯rɡ̊/
Salumets,/ˈsɑlumets/
Salum,/ˈsɑlum/
Sahk,/ˈsɑhk/
Sadrak,/ˈsɑd̥rɑk/
Saagpakk,/ˈsɑːɡ̊pɑkː/
Säärits,/ˈsæːrits/
Sööt,/ˈsøːt/
Sääsk,/ˈsæːsk/
Käos,/ˈkæo̯s/
Tammoja,/ˈtɑmːojɑ/
Alas,/ˈɑlɑs/
Puss,/ˈpusː/
Noormägi,/ˈnoːrmæɡ̊i/
Noormaa,/ˈnoːrmɑː/
dušigeel,/ˈd̥uʃiˌɡ̊eːl(ʲ)/
lõhn,/ˈlɤhn/
tšeburekk,/tʃeb̥uˈrekː/
bänger,/ˈb̥ænɡ̊er/
gümnaasium,/ɡ̊ymˈnɑːsiu̯m/
tüümian,/ˈtyːmiɑ̯n/
padjapüür,/ˈpɑd̥jɑˌpyːr/
relatiivsusteooria,/ˈrelɑtiːvsusteˌoːriɑ̯/
heliriba,/ˈheliˌrib̥ɑ/
püramiidskeem,/ˈpyrɑmiːd̥ˌskeːm/
kitsehabe,/ˈkitseˌhɑb̥e/
keskkool,/ˈkeskˌkoːl(ʲ)/
etanool,/etɑˈnoːl/
peavoolumeedia,/ˈpeɑ̯(ˌ)voˑluˌmeːd̥iɑ̯/
mõjutaja,/ˈmɤjutɑjɑ/
poolkera,/ˈpoːlˌkerɑ/
ebavõrdsus,/ˈeb̥ɑˌvɤrd̥sus/
Ingerimaa,/ˈinɡ̊eriˌmɑː/
Ingeri,/ˈinɡ̊eri/
särtsuauto,/ˈsærtsuˌɑu̯to/
elektriauto,/eˈlektriˌɑu̯to/
sügavalt,/ˈsyɡ̊ɑvɑlt/
nokamüts,/ˈnokɑˌmytʲs/
nokk,/ˈnokː/
bomž,/ˈb̥omʒ̊/
debiilik,/ˈd̥eb̥iˑlik/
merejää,/ˈmereˌjæː/
raamatuarutelu,/ˈrɑˑmɑtuˌɑrutelu/
raamatualus,/ˈrɑˑmɑtuˌɑlus/
veltveebel,/ˈveltˌveːb̥el/
bemm,/ˈb̥emː/
juutuuber,/ˈjuːˌtuːb̥er/
onomatopöa,/onomɑtopˈpøɑ̯/
kirjaoskamatu,/ˈkirjɑˌoskɑmɑtu/
Tondi,/ˈtonʲd̥i/
lõtv,/ˈlɤtv/
rahvalaul,/ˈrɑhvɑˌlɑu̯l/
linnupiim,/ˈlinˑuˌpiːm/
diil,/ˈd̥iːl/
kuritegevus,/ˈkuriˌteɡ̊evus/
lühter,/ˈlyhter/
nupp,/ˈnupː/
virmalised,/ˈvirmɑlised̥/
teksad,/ˈteksɑd̥/
puiestee,/ˈpui̯esˌteː/
trahv,/ˈtrɑhv/
söör,/ˈsøːr/
tagastama,/ˈtɑɡ̊ɑstɑmɑ/
taotlema,/ˈtɑo̯tlemɑ/
töötaja,/ˈtøːtɑjɑ/
harilikult,/ˈhɑrilikult/
raudsepp,/ˈrɑu̯d̥ˌsepː/
pliidiraud,/ˈpliˑd̥iˌrɑu̯d̥/
kaitseraud,/ˈkɑi̯tseˌrɑu̯d̥/
hobuseraud,/ˈhob̥useˌrɑu̯d̥/
skisofreenia,/ˌskisoˈfreːniɑ̯/
õgima,/ˈɤɡ̊imɑ/
rebima,/ˈreb̥imɑ/
pärlmutter,/ˈpærlˌmutːer/
kihk,/ˈkihk/
niiduk,/ˈniˑd̥uk/
niitma,/ˈniːtmɑ/
röövimine,/ˈrøːvimine/
sahtel,/ˈsɑhtel/
pärlmutterpilv,/ˈpærl(ˌ)mutːerˌpilv/
polaarstratosfääripilv,/ˈpolɑːrˌstrɑtos(ˌ)fæˑriˌpilv/
stratosfäärilend,/ˈstrɑtos(ˌ)fæˑriˌlend̥/
stratosfäär,/ˈstrɑtosˌfæːr/
hiljuti,/ˈhiljuti/
meduus,/meˈd̥uːs/
lasteprostitutsioon,/ˈlɑsteˌprostitutˌsio̯ːn/
prostitutsioon,/prostitutˈsio̯ːn/
lõks,/ˈlɤks/
ingelinvestor,/ˈinɡ̊elinˌvestor/
sutenöör,/suteˈnøːr/
vandaalitsema,/vɑnˈd̥ɑˑlitsemɑ/
kolmekuningapäev,/ˈkolmeˌkuninɡ̊ɑˌpæe̯v/
klaveriliteratuur,/ˈklɑveriˌliterɑtˌtuːr/
küllane,/ˈkylˑɑne/
hundikutsikas,/ˈhunʲd̥iˌkutsikɑs/
kutsikas,/ˈkutʲsikɑs/
paaž,/ˈpɑːʒ̊/
kummuli,/ˈkumˑuli/
leetrid,/ˈleːtrid̥/
saiake,/ˈsɑi̯ɑke/
adverbiline,/ɑd̥ˈverb̥iline/
teadja,/ˈteɑ̯d̥jɑ/
saarlane,/ˈsɑːrlɑne/
vähk,/ˈvæhk/
kõhunäärmevähk,/ˈkɤhu(ˌ)næːrmeˌvæhk/
kõhunäärmepõletik,/ˈkɤhu(ˌ)næːrmeˌpɤletik/
kõhunäärmejuha,/ˈkɤhu(ˌ)næːrmeˌjuhɑ/
kõhunääre,/ˈkɤhuˌnæˑre/
liisk,/ˈliːsk/
viibima,/ˈviːb̥imɑ/
seadma,/ˈseɑ̯d̥mɑ/
viir,/ˈviːr/
säär,/saːɾ/
palmik,/ˈpɑlʲmik/
kähisema,/ˈkæhisemɑ/
ohjama,/ˈohjɑmɑ/
pühkima,/ˈpyhkimɑ/
külmkapimagnet,/ˈkylʲm(ˌ)kɑpiˌmɑɡ̊net/
kükk,/ˈkykː/
hämu,/ˈhæmu/
piiksuma,/ˈpiːksumɑ/
koole,/ˈkoːle/
rukkijahu,/ˈrukːiˌjɑhu/
Melikjan,/ˈmelikjɑn/
vatitekk,/ˈvɑtitekː/
pädema,/ˈpæd̥emɑ/
