word,ipa
chien,/ʃjɛ̃/
abada,/a.ba.da/
abdominales,/ab.dɔ.mi.nal/
abime,/a.bim/
abrogative,/a.bʁɔ.ɡa.tiv/
été,/e.te/
accorder,/a.kɔʁ.de/
accostable,/a.kɔs.tabl/
jeudi,/ʒø.di/
livrer,/li.vʁe/
BCE,/be.se.ø/
représentant,/ʁə.pʁe.zɑ̃.tɑ̃/
observateur,/ɔp.sɛʁ.va.tœʁ/
RTFM,/ɛʁ.te.ɛ.fɛm/
brassière,/bʁa.sjɛʁ/
BM,/be.ɛm/
GSM,/ʒe.ɛ.sɛm/
dictionnaire,/dik.sjɔ.nɛʁ/
Schadenfreude,/ʃa.dən.fʁɔj.də/
DDT,/de.de.te/
donner,/dɔ.ne/
amontillado,/a.mɔ̃.ti.ja.do/
gyroscope,/ʒi.ʁɔs.kɔp/
CH,/se.aʃ/
SI,/ɛ.si/
CA,/sa/
verres,/vɛʁ/
gracia,[ɡraˈt͡sia]
furigana,/fu.ʁi.ɡa.na/
japonais,/ʒa.pɔ.nɛ/
pleuvoir,/plø.vwaʁ/
voir,/vwaʁ/
gallo,/ɡa.lo/
éventuellement,/e.vɑ̃.tɥɛl.mɑ̃/
Serbie-et-Monténégro,/sɛʁ.bi.e.mɔ̃.te.ne.ɡʁo/
bien,/bjɛ̃/
œil,/œj/
conge,/kɔ̃ʒ/
abyme,/a.bim/
massacrer,/ma.sa.kʁe/
rêve,/ʁɛ.ve/
rêver,/ʁɛ.ve/
hara-kiri,/a.ʁa.ki.ʁi/
liège,/ljɛʒ/
nuit,/nɥi/
poire,/pwaʁ/
allemand,/al.mɑ̃/
Condé-sur-Sarthe,/kɔ̃.de.syʁ.saʁt/
damoiselle,/da.mwa.zɛl/
anglais,/ɑ̃.ɡlɛ/
faux-ami,/fo.z‿a.mi/
bicarbonate,/bi.kaʁ.bɔ.nat/
quatre-vingt,/ka.tʁə.vɛ̃/
quatre-vingts,/ka.tʁə.vɛ̃/
TOC,/tɔk/
être,/ɛtʁ/
avoir,/a.vwaʁ/
nosémose,/no.ze.moz/
cœur,/kœʁ/
oxygène,/ɔk.si.ʒɛn/
deux,/dø/
trois,/tʁwa/
cinq,/sɛ̃k/
neuf,/nœf/
dix,/dis/
douze,/duz/
treize,/tʁɛz/
quatorze,/ka.tɔʁz/
PET,/pɛt/
quarante,/ka.ʁɑ̃t/
musique,/my.zik/
couleur,/ku.lœʁ/
maison,/mɛ.zɔ̃/
taureau,/tɔ.ʁo/
poisson,[pwasɔ̃]
bicyclette,/bi.si.klɛt/
métro,/me.tʁo/
ouest,/wɛst/
mètre,/mɛtʁ/
nº,/no/
numéro,/ny.me.ʁo/
chocolat,/ʃɔ.kɔ.la/
jamais,/ʒa.mɛ/
personne,/pɛʁ.sɔn/
Roumanie,/ʁu.ma.ni/
samouraï,/sa.mu.ʁa.i/
intermodal,/ɛ̃.tɛʁ.mɔ.dal/
menthe,/mɑ̃t/
courtisanerie,/kuʁ.ti.zan.ʁi/
dix-neuf,/diz.nœf/
démocratie,/de.mɔ.kʁa.si/
maire,/mɛʁ/
vache,/vaʃ/
zèbre,/zɛbʁ/
kangourou,/kɑ̃.ɡu.ʁu/
lexique,/lɛk.sik/
bonne,/bɔn/
cannelle,/ka.nɛl/
acclimatable,/a.kli.ma.tabl/
acclimatement,/a.kli.mat.mɑ̃/
accueil,/a.kœj/
Orne,/ɔrnə/
laurer,/lɔ.ʁe/
laudative,/lo.da.tiv/
langage,/lɑ̃.ɡaʒ/
Moscovite,/mɔs.kɔ.vit/
accoutumer,/a.ku.ty.me/
français,/fʁɑ̃.sɛ/
janvier,/ʒɑ̃.vje/
accréditation,/a.kʁe.di.ta.sjɔ̃/
