word,ipa
घड़ियाली,/ɡʱə.ɽɪ.jɑː.liː/
नक्राश्रु,/nək.ɾɑːʃ.ɾuː/
लहलहाना,/ləɦ.lə.ɦɑː.nɑː/
लतख़ोर,/lət̪.xoːɾ/
-ख़ोर,/xoːɾ/
हँसाई,/ɦə̃.sɑː.iː/
जग-हँसाई,/d͡ʒəɡ.ɦə̃.sɑː.iː/
जगहँसाई,/d͡ʒəɡ.ɦə̃.sɑː.iː/
हेरना,/ɦeːɾ.nɑː/
हिना,/ɦɪ.nɑː/
ज़र्दी,/zəɾ.d̪iː/
कमतरीन,/kəm.t̪ə.ɾiːn/
आसव,/ɑː.səʋ/
पथराना,/pət̪ʰ.ɾɑː.nɑː/
छाजना,/t͡ʃʰɑːd͡ʒ.nɑː/
पार्षद,/pɑːɾ.ʂəd̪/
कीर्तिमान,/kiːɾ.t̪ɪ.mɑːn/
टैरिफ़,/ʈɛː.ɾɪf/
प्रसूता,/pɾə.suː.t̪ɑː/
पुनर्जात,/pʊ.nəɾ.d͡ʒɑːt̪/
घाई,/ɡʱɑː.iː/
आश्रित,/ɑːʃ.ɾɪt̪/
दुखदायक,/d̪ʊkʰ.d̪ɑː.jək/
दुखद,/d̪ʊ.kʰəd̪/
दुखदायी,/d̪ʊkʰ.d̪ɑː.jiː/
महासंरचना,/mə.ɦɑː.sən.ɾət͡ʃ.nɑː/
अपर्याप्तता,/ə.pəɾ.jɑːp.t̪ə.t̪ɑː/
पर्याप्तता,/pəɾ.jɑːp.t̪ə.t̪ɑː/
सुखदायी,/sʊkʰ.d̪ɑː.jiː/
सुखदायक,/sʊkʰ.d̪ɑː.jək/
सुविधाजनक,/sʊ.ʋɪ.d̪ʱɑːd͡ʒ.nək/
थलसेना,/t̪ʰəl.seː.nɑː/
नौसैनिक,/nɔː.sɛː.nɪk/
बेदिल,/beː.d̪ɪl/
घनता,/ɡʱən.t̪ɑː/
द्विपदत्व,/d̪ʋɪ.pə.d̪ət̪.ʋᵊ/
जठर,/d͡ʒə.ʈʰəɾ/
महाकाल,/mə.ɦɑː.kɑːl/
बुनावट,/bʊ.nɑː.ʋəʈ/
बुनाई,/bʊ.nɑː.iː/
गयाना,/ɡə.jɑː.nɑː/
साज़िंदा,/sɑː.zɪn.d̪ɑː/
चुनिंदा,/t͡ʃʊ.nɪn.d̪ɑː/
पुनर्नवा,/pʊ.nəɾ.nə.ʋɑː/
टट्टे,/ʈəʈ.ʈeː/
सम्मानसूचक,/səm.mɑːn.suː.t͡ʃək/
पूर्वक,/puːɾ.ʋək/
सम्मानपूर्वक,/səm.mɑːn.puːɾ.ʋək/
अपहृत,/əpʰ.ɾɪt̪/
अपहरणकर्ता,/ə.pʰə.ɾəɳ.kəɾ.t̪ɑː/
पौरुषेय,/pɔː.ɾʊ.ʂeːj/
सठियाना,/sə.ʈʰɪ.jɑː.nɑː/
मलद्वार,/mə.ləd̪.ʋɑːɾ/
जननांग,/d͡ʒən.nɑːŋɡ/
स्खलित,/skʰə.lɪt̪/
छेदन,/t͡ʃʰeː.d̪ən/
सहभोज,/səɦ.bʱoːd͡ʒ/
परजैविक,/pəɾ.d͡ʒɛː.ʋɪk/
द्वारमण्डप,/d̪ʋɑːɾ.məɳ.ɖəp/
छज्जा,/t͡ʃʰəd̪.d͡ʒɑː/
प्रखरता,/pɾə.kʰəɾ.t̪ɑː/
जागरूक,/d͡ʒɑːɡ.ɾuːk/
प्रखर,/pɾə.kʰəɾ/
अधरामृत,/əd̪ʱ.ɾɑːm.ɾɪt̪/
अधर,/ə.d̪ʱəɾ/
उदित,/ʊ.d̪ɪt̪/
प्रवेशिका,/pɾə.ʋeː.ʃɪ.kɑː/
प्रस्तावना,/pɾəs.t̪ɑːʋ.nɑː/
गर्त,/ɡəɾt̪/
बुरकना,/bʊ.ɾək.nɑː/
चमारन,/t͡ʃə.mɑː.ɾən/
चमारिन,/t͡ʃə.mɑː.ɾɪn/
अद्वितीय,/əd̪.ʋɪ.t̪iː.jᵊ/
तीर्थ-यात्रा,/t̪iːɾt̪ʰ.jɑːt̪.ɾɑː/
परकोटा,/pəɾ.koː.ʈɑː/
कञ्चन,/kən.t͡ʃən/
रेवड़ीवाल,/ɾeːʋ.ɽiː.ʋɑːl/
छविगृह,/t͡ʃʰə.ʋɪɡ.ɾiːɦ/
निर्धूम,/nɪɾ.d̪ʱuːm/
रेवड़ी,/ɾeːʋ.ɽiː/
आर्य-समाज,/ɑːɾ.jᵊ.sə.mɑːd͡ʒ/
आर्यसमाज,/ɑːɾ.jᵊ.sə.mɑːd͡ʒ/
तटस्थेश्वरवाद,/t̪ə.ʈəs.t̪ʰeːʃ.ʋəɾ.ʋɑːd̪/
ठकुराना,/ʈʰə.kʊ.ɾɑː.nɑː/
रसमलाई,/ɾə.səm.lɑː.iː/
कैथाना,/kɛː.t̪ʰɑː.nɑː/
हस्तिस्नान,/ɦəs.t̪ɪs.nɑːn/
ठरक,/ʈʰə.ɾək/
चकत्ता,/t͡ʃə.kət̪.t̪ɑː/
तंद्रा,/t̪ən.d̪ɾɑː/
तन्द्रालस,/t̪ən.d̪ɾɑː.ləs/
तंद्रालस,/t̪ən.d̪ɾɑː.ləs/
फाँसना,/pʰɑ̃ːs.nɑː/
भगौना,/bʱə.ɡɔː.nɑː/
शक्करकन्द,/ʃək.kəɾ.kənd̪/
शक्करकंद,/ʃək.kəɾ.kənd̪/
शकरकन्द,/ʃə.kəɾ.qənd̪/
शकरक़न्द,/ʃə.kəɾ.qənd̪/
शकरक़ंद,/ʃə.kəɾ.kənd̪/
प्रत्यंचा,/pɾət̪.jən.t͡ʃɑː/
मानों,/mɑː.noː/
एकल-प्रयोग,/eː.kəl.pɾə.joːɡ/
काठियावाड़ी,/kɑː.ʈʰɪ.jɑː.ʋɑː.ɽiː/
अहमक़,/əɦ.məq/
मुस्तक़िल,/mʊs.t̪ə.qɪl/
खुरंट,/kʰʊ.ɾəɳʈ/
खुरण्ट,/kʰʊ.ɾəɳʈ/
खुरण्ड,/kʰʊ.ɾəɳɖ/
खुरंड,/kʰʊ.ɾəɳɖ/
शांकव,/ʃɑːŋ.kəʋ/
पथराव,/pət̪ʰ.ɾɑːʋ/
निर्वात,/nɪɾ.ʋɑːt̪/
शिलास्तंभ,/ʃɪ.lɑːs.t̪əmbʱ/
चरती,/t͡ʃəɾ.t̪iː/
बरती,/bəɾ.t̪iː/
बीड,/biːɖ/
सुशीलता,/sʊ.ʃiːl.t̪ɑː/
शूरवीर,/ʃuːɾ.ʋiːɾ/
उत्तेजक,/ʊt̪.t̪eː.d͡ʒək/
आह्वान,/ɑːɦ.ʋɑːn/
प्रज्वलन,/pɾəd͡ʒ.ʋə.lən/
हिमार,/ɦɪ.mɑːɾ/
दस्तक,/d̪əs.t̪ək/
चूतियापा,/t͡ʃuː.t̪ɪ.jɑː.pɑː/
नभ,/nəbʱ/
बीचोंबीच,/biː.t͡ʃõː.biːt͡ʃ/
पुलह,/pʊ.ləɦ/
अंगिरस,/əŋ.ɡɪ.ɾəs/
बाड़ा,/bɑː.ɽɑː/
क्रीड़ावन,/kɾiː.ɽɑː.ʋən/
क्यारी,/kjɑː.ɾiː/
बगिया,/bə.ɡɪ.jɑː/
संवारना,/səm.ʋɑːɾ.nɑː/
कियारी,/kɪ.jɑː.ɾiː/
सातों,/sɑː.t̪õː/
सातगुना,/sɑːt̪.ɡʊ.nɑː/
गुना,/ɡʊ.nɑː/
पाँचगुना,/pɑ̃ːt͡ʃ.ɡʊ.nɑː/
पाँचों,/pɑ̃ː.t͡ʃõː/
तीनों,/t̪iː.nõː/
प्यारी,/pjɑː.ɾiː/
प्रियतमा,/pɾɪ.jət̪.mɑː/
सौवाँ,/sə̯u.ʋɑ̃ː/
शततम,/ʃət̪.t̪əm/
प्रियतम,/pɾɪj.t̪əm/
बर्गलाना,/bəɾ.ɡə.lɑː.nɑː/
वर्गलाना,/ʋəɾ.ɣə.lɑː.nɑː/
वर्ग़लाना,/ʋəɾ.ɣə.lɑː.nɑː/
वरगलाना,/ʋəɾ.ɡə.lɑː.nɑː/
बरगलाना,/bəɾ.ɡə.lɑː.nɑː/
वरग़लाना,/ʋəɾ.ɡə.lɑː.nɑː/
धतकरम,/d̪ʱət̪.kə.ɾəm/
धत्कर्म,/d̪ʱət̪.kəɾm/
पुरखिन,/pʊɾ.kʰɪn/
पुरखा,/pʊɾ.kʰɑː/
उद्गम,/ʊd̪.ɡəm/
ग्रंथि,/ɡɾən̪t̪̪ʰiː/
अग्रजा,/əɡ.ɾə.d͡ʒɑː/
स्तनाग्र,/st̪ə.nɑːɡ.ɾᵊ/
चुचुक,/t͡ʃʊ.t͡ʃʊk/
राष्ट्रविरोधी,/ɾɑːʂ.ʈɾə.ʋɪ.ɾoː.d̪ʱiː/
राष्ट्रीयता,/ɾɑːʂ.ʈɾiːj.t̪ɑː/
अंतरतारकीय,/ən.t̪ɾə.t̪ɑːɾ.kiː.jᵊ/
तारकीय,/t̪ɑːɾ.kiː.jᵊ/
तारागुच्छ,/t̪ɑː.ɾɑː.ɡʊt̪t͡ʃʰ/
कटाव,/kə.ʈɑːʋ/
आकाशीय,/ɑː.kɑː.ʃiː.jᵊ/
द्वितारा,/d̪ʋɪ.t̪ɑː.ɾɑː/
चन्द्रविज्ञान,/t͡ʃən.d̪ɾə.ʋɪɡ.jɑːn/
बहिर्चंद्र,/bə.ɦɪɾ.t͡ʃən.d̪ɾᵊ/
बहिर्ग्रह,/bə.ɦɪɾ.ɡɾəɦ/
