word,ipa
"annars vegar","/ˈanːar̥s ˌvɛːɣar/"
múrari,/ˈmuː.ra(ː).rɪ/
"skjóta upp","/ˈscouːta ʏhp/"
íþætta,/ˈiːθaiʰta/
uggla,/ˈʏkla/
ógnun,/ˈouknʏn/
ógnan,/ˈouknan/
næðingur,/ˈnaiːðiŋkʏr/
ama,/ˈɑː.mə/
snjár,/stnjauːr/
gusa,/ɡú.sàː/
gormstigi,/ˈkɔrm(ˌ)stɪi(ː)jɪ/
Eyjafjallajökull,/ˈeɪ.aˌfjat.laˌjɜ.kəl/
sóldögg,/ˈsou̯ltœkː/
hljómplata,/ˈl̥joum.pʰlaːta/
hærður,/ˈhairðʏr/
þjóðernishreinsun,/ˈθjouːð.ɛrtnɪsˌr̥ein.sʏn/
bæt,/paiːt/
harðna,/ˈhartna/
bókabúð,/ˈpouːkaˌpuːð/
a,⟨ɑ⟩
þvara,/ˈθvaːra/
dæmisaga,/ˈtaiːmɪ.saːɣa/
skotta,/ˈskɔhta/
mannglöggur,/ˈmanːˌklœ.kːʏr/
gall,/ɡɔːl/
Ræfill,/ˈraiːvɪtl/
Mævill,/ˈmaiːvɪtl/
rakkur,/ˈrahkʏr/
Gils,/kɪls/
sætleiki,/ˈsai̯ːtlei̯cɪ/
veiting,/ˈveiːtiŋ/
pósthólf,/ˈpʰoust.houlv/
tjáning,/ˈtʰjauː/
glæsa,/ˈklɛaːsa/
myndlist,/ˈmɪnt.lɪst/
svolítill,/ˈsvɔːliːtɪtl/
millifæra,/ˈmɪtlɪˌfaiːra/
skolhærður,/ˈskɔːl.hairðʏr/
-unn,[un͈]
fennikka,/ˈfɛnːɪhka/
fennika,/ˈfɛnːɪːka/
Biblía,/ˈpɪpliːja/
beðmi,/ˈpɛðmɪ/
svikalaus,/svɪːkaˌløyːs/
útlegð,/ˈuːtlɛɣð/
útlagi,/ˈuːtlaɣɪ/
berggrunnur,/perkːrʏnːʏr/
málmvinnsla,/ˈmaulmˌvɪnːstla/
rýni,/ˈriːnɪ/
reykherbergi,/ˈreiːk.hɛr(ˌ)pɛrcɪ/
útilegumaður,/ˈuːtɪlɛɣʏˌmaːðʏr/
melrakki,/ˈmɛːl.rahcɪ/
staðfestingarskekkja,/ˈstaːð.fɛ.stiŋ.ɡarˌscɛh.ca/
Garðaríki,/ˈkarðaˌriːcɪ/
Þorgrímur,/ˈθɔːrˌkrimʏr/
Eyjafjöll,/ˈeiːjaˌfjœtl/
þvælast,/ˈθvaiːlast/
Millifljótaland,/ˈmɪtlɪˌfjouːtʰaˌland/
gvaranískur,/ˈkvaːraniskʏr/
gvaraníska,/ˈkvaːraniska/
lestarslys,/ˈlɛstarˌstlɪːs/
músík,/ˈmuː(ˌ)siːk/
vöttur,/ˈvœ.tʏr/
hörgur,/ˈhœr.kʏr/
víta,/ˈviː.ta/
fergja,/ˈfɛr.ca/
fyrirsát,/ˈfɪː.rɪrˌsauːt/
baldinn,/ˈpal.tɪnː/
rúgbrauð,/ˈruːɣˌprœyːð/
þöll,/θœːtl/
skellinaðra,/ˈskɛtlɪˌnaðra/
lúxemborgskur,/ˈluxsɛmˌpɔrkskʏr/
lúxemborgska,/ˈluxsɛmˌpɔrkska/
Laufey,/ˈlœy̯ːvɛi̯/
viðlag,/ˈvɪðlaɣ/
brauðterta,/ˈprœyːðˌtʰɛr̥ta/
nökkvi,/ˈnœhkvɪ/
úlfaldarækt,/ˈulvaltaˌraixt/
leyti,-eiːtɪ
Úlfur,/ˈulvʏr/
kanóna,/ˈka.nouː.na/
rifna,/ˈrɪpna/
búfræði,/ˈpuːˌfrajːðɪ/
jökulsá,/ˈjœːɡʏlsau/
hnit,/xniːt/
Sundhnúkagígaröðin,/ˈsʏntˌn̥uːkaˌciːɣaˌrœːðɪn/
slökkvibíll,/ˈslœʰkvɪpitl/
tjóðra,/ˈt͡ʃɔuːɹa/
tjóður,[ˈtʃʰɔuːwʊɹ]
flughöfn,/flʏːɣ.hœpn/
Kalli,/ˈkɑlːi/
kvennabúr,/ˈkʰvɛnːaˌpuːr/
hvoll,-ɔtl
sjálfa,/ˈsjaulva/
innmatur,/ˈinːˌmaːtʏr/
bréfsími,/ˈprjɛːvˌsiːmɪ/
faxtæki,/ˈfaksˌtʰaiːcɪ/
símbréf,/ˈsiːmˌprjɛːv/
brói,-ouːɪ
þrif,-ɪːv
veitingastaður,/ˈveiːtiŋkaˌstaːðʏr/
óraunhæfur,/ˈouːˌrœiːnˌhaiː.vʏr/
staðfugl,/ˈstaːð.fʏkl/
jálkur,/ˈjaul̥kʏr̥/
Osló,/ˈɔs(t)louː/
-samur,/ˈsɛaːmʊɹ/
kolanáma,/ˈkʰɔːlaˌnauːma/
Ugla,/ˈʏkla/
vísubók,[ˈvʊi̯ː.sʊˌpɔu̯ˑk]
tvívegis,/ˈtʰviːveiːjɪs/
Hjaltland,/ˈjal̥tlant/
örugglega,/ˈœːrʏk(ː)(ˌ)lɛːɣa/
svæsinn,/ˈsvai̯ːsɪnː/
malur,[məˈlur]
sálgreining,/ˈsauːl.kreiːniŋk/
vönun,-œːnʏn
ómægod,/ˈou̯ːmai̯kat/
rúst,/ruːst/
hremming,/ˈxrem.minɡ/
plokkari,/ˈplokːɑri/
gúlag,/ˈkʏː.laːɣ/
Hreinn,/r̥eitn/
járntjald,/ˈjaurtnˌtʰjalt/
fleinn,/fleitn/
hreytir,/ˈr̥eiːtir/
hjúkka,/ˈhjuhka/
dekur,-ɛːkʏr
skrípi,-iːpɪ
labbakútur,/ˈlapːaˌkʰuːtʏr/
púra,/ˈpʰuːra/
skrekkur,-ɛhkʏr
kjaftæði,/ˈcʰaftaiːðɪ/
goggun,-ɔkːʏn
snerting,-ɛr̥tiŋk
halakarta,/ˈhaːlaˌkʰar̥ta/
Bareini,/baɾejˈni/
trauður,-øyːðʏr
fokking,/ˈfɔhkiŋk/
endilega,/ˈɛntɪlɛɣa/
perri,/ˈpeˀrːi/
skammdegi,/ˈskamːˌtɛ(ː)jɪ/
prótín,/ˈpʰrouːtiːn/
starfslýsing,/ˈstarvˌliː.siŋk/
hjöðnun,/ˈçœðnʏn/
þræða,-aiːða
spölur,-œːlʏr
björgun,-œrkʏn
gulrófa,/ˈkʏlˌrouːva/
bólusetning,/ˈpouː.luˌsɛht.niŋk/
dökk,/tœhk/
rústa,-usta
kokteill,/ˈkʰɔx.teitl̥/
kubbur,/ˈkʰʏpːʏr/
blóðbanki,/ˈblouð(ˌ)pauŋ̊cɪ/
vandlegur,/ˈvantlɛɣʏr/
Arktúrus,/ˈar̥xturʏs/
blæti,-aiːtɪ
Kani,/ˈkɑni/
bókun,-ouːkʏn
hlein,/l̥eiːn/
tryllingur,/tʰrɪtliŋkʏr/
rauðaldin,/ˈrøyːðˌaltɪn/
gengilbeina,/ˈceiŋcɪlˌpeiːna/
Letti,-ɛhtɪ
Mongóli,/ˈmouŋkoulɪ/
stöpull,-œːpʏtl
mellufær,/ˈmɛtlʏˌfaiːr/
kollegi,[ˈkʰɔlːɛcɪ]
bálför,/ˈpauːl.fœːr/
drómasýki,/ˈtrouːma.siːcɪ/
heslimús,/ˈhɛsli.muːs/
kvis,/kʰvɪːs/
losun,/ˈlɔːsʏn/
Drífa,-iːva
hughyggja,/ˈhʏːɣ.hɪcːa/
krybba,/ˈkripːa/
límband,/ˈliːm.pant/
birting,-ɪr̥tiŋk
bandormur,/ˈpant.ɔrmʏr/
vorlaukur,/ˈvɔːrˌløyːkʏr/
rauðlaukur,/ˈrøyːðˌløyːkʏr/
graslaukur,/ˈkraːsˌløyːkʏr/
piparkökuhús,/ˈpʰɪːparkʰœkuˌhuːs/
piparkaka,/ˈpʰɪːparˌkʰaːka/
hlújárn,/ˈl̥uː.jaurtn/
Akkra,[ˈakra]
bílabíó,/ˈpitla.piːouː/
bíóhús,/ˈpiːouː.huːs/
kvikmyndaver,/ˈkʰvɪːk.mɪn.ta.vɛːr/
bíómynd,/ˈpiːouː.mɪnt/
Sigurey,/ˈsɪːɣʏrɛi̯/
Ísey,/ˈiːsɛi̯/
Valey,/ˈvaːlɛi̯/
mortél,/ˈmɔr̥tjɛl/
Guðfríður,/ˈkvʏðfriðʏr̥/
drekafluga,/ˈtrɛːka.flʏːɣa/
slenja,/ˈstlɛnja/
sálufélagi,/ˈsauːlu.fjɛːlaːjɪ/
fretur,/ˈfrɛː.tʏr/
kyrkislanga,/ˈcɪr̥cɪstlauŋka/
snæugla,/ˈstnaiː.ʏkla/
stæll,/staitl/
skráargat,/ˈskrauːar.kaːt/
bókfell,/ˈpouːk.fɛtl/
þjóðarbrot,/ˈθjouːðar.prɔːt/
þjóðtrú,/ˈθjouːð.tʰr̥uː/
þjóðskrá,/ˈθjouːð.skrauː/
markaskrá,/ˈmar̥ka.skrauː/
markorð,/ˈmar̥k.ɔrð/
sigursæll,/ˈsɪːɣʏrs.aitl̥/
listsýning,/ˈlɪst.siːniŋk/
listaskóli,/ˈlɪsta.skouːlɪ/
listasaga,/ˈlɪsta.saːɣa/
listasafn,/ˈlɪsta.sapn/
lágnætti,/ˈlauːɣ.naihtɪ/
jólaljós,/ˈjouːlaˌljouːs/
kró,/kʰrouː/
Hrafnhildur,/ˈr̥apn̥ˌhɪltʏr/
Nikulás,/ˈnɪːkʏˌlauːs/
sprey,/spɾeɪ/
þekkur,/ˈθɛhkʏr/
greinarmerki,/ˈkreiː.narˌmɛr̥.cɪ/
ergilegur,/ˈɛr.cɪˌle.ɣur/
svakalegur,/ˈsʋaːkalɛɣʏr/
órar,/ˈouːrar/
hernám,[ˈɦɛrnaːm]
seðlabanki,/ˈsɛðlaˌpauŋ̊cɪ/
sakargift,/ˈsaːkarˌcɪft/
ásökun,/ˈauːˌsœːkʏn/
ásaka,/ˈauːˌsaːka/
klögumál,/ˈkʰlœːɣʏˌmauːl/
kvörtun,/ˈkʰvœr̥tʏn/
