word,ipa
იურული,[iuɾuli]
ალუმინისფერი,[aɫuminispʰeɾi]
თუთიისფერი,[tʰutʰiispʰeɾi]
რკინისფერი,[ɾkʼinispʰeɾi]
ბიომრავალფეროვნება,[b̥iomɾavalpʰeɾovneba]
სიმთვრალე,[simtʰʷɾale]
ციტოლოგია,[t͡sʰitʼoɫoɡia]
ზიგოტა,[ziɡotʼa]
სკაგერაკი,[skʼaɡeɾakʼi]
კატეგატი,[kʼatʼeɡatʼi]
დუნაი,[d̥unai]
კეინზიანიზმი,[kʼeinzianizmi]
ტირანა,[tʼiɾana]
სანიტარიული,[sanitʼaɾiuli]
ფიტოსანიტარიული,[pʰitʼosanitʼaɾiuli]
საუნა,[sauna]
ევროვიზია,[evɾovizia]
სტარტაპერი,[stʼaɾtʼapʼeɾi]
სტანდარტიზებული,[stʼandaɾtʼizebuli]
ყლისთავი,[χʼlistʰavi]
ჰიპერტექსტი,[hipʼeɾtʼekʰstʼi]
ჰიპერბმული,[hipʼeɾbmuli]
წყალვარდნილი,[t͡sʼχʼalʷaɾdnili]
ნევსი,[nefsi]
ეკუმენოპოლისი,[ekʼumenopʼolisi]
პონტიფექსი,[pʼontʼipʰekʰsi]
პონტიფიკატი,[pʼontʼipʰikʼatʼi]
სასრული,[sasɾuli]
პროკლამაცია,[pʼɾokʼɫamat͡sʰia]
ფრანკული,[pʰɾaŋkʼuli]
ვატიკანოლოგია,[vatʼikʼanoɫoɡia]
აიღებს,[aiʁebs]
გამონაბოლქვი,[ɡ̊amonabolkʰʷi]
გაუტკივარება,[ɡ̊autʼkʼivaɾeba]
აირბალიში,[aiɾbaliʃi]
ანალგეტიკური,[analɡetʼikʼuɾi]
გამაუტკივარებელი,[ɡ̊amautʼkʼivaɾebeli]
ტკივილგამაყუჩებელი,[tʼkʼivilɡamaχʼut͡ʃʰebeli]
რეპროდუქციული,[ɾepʼɾodukʰt͡sʰiuli]
ძალოსნობა,[d͡zaɫosnoba]
ჰიდროთვითმფრინავი,[hidɾotʰʷitʰmpʰɾinavi]
ბიუროკრატიზაცია,[b̥iuɾokʼɾatʼizat͡sʰia]
არარსებული,[aɾaɾsebuli]
ინფრასტრუქტურა,[inpʰɾastʼɾukʰtʼuɾa]
ინფრასტრუქტურული,[inpʰɾastʼɾukʰtʼuɾuli]
ინფრასტრუქტურულად,[inpʰɾastʼɾukʰtʼuɾuɫatʰ]
ლობიზმი,[ɫobizmi]
ანტიმონოპოლისტური,[antʼimonopʼolistʼuɾi]
სუბდუქცია,[subdukʰt͡sʰia]
მონეტიზაცია,[monetʼizat͡sʰia]
მედიადამკვრელი,[mediadamkʼʷɾeli]
მედიაპლეიერი,[mediapʼleieɾi]
ონლაინ-თამაში,[onɫaintʰamaʃi]
მრავალმოთამაშიანი,[mɾavalmotʰamaʃiani]
არტეზიული,[aɾtʼeziuli]
მიკროეკონომიკა,[mikʼɾoekʼonomikʼa]
მაკროეკონომიკა,[makʼɾoekʼonomikʼa]
თვითმპყრობელობა,[tʰʷitʰmpʼχʼɾobeɫoba]
ავტარქია,[aftʼaɾkʰia]
ცირკონი,[t͡sʰiɾkʼoni]
კონფედერაციული,[kʼonpʰedeɾat͡sʰiuli]
თვითცენზურა,[tʰʷitʰt͡sʰenzuɾa]
თვითგამოცხადებული,[tʰʷitʰɡamot͡sʰχadebuli]
თვითკრიტიკა,[tʰʷitʰkʼɾitʼikʼa]
თვითდისციპლინა,[tʰʷitʰdist͡sʰipʼlina]
ფონდი,[pʰondi]
გიგანტი,[ɡ̊iɡantʼi]
ტექნო-გიგანტი,[tʼekʰnoɡiɡantʼi]
ტექნოგიგანტი,[tʼekʰnoɡiɡantʼi]
აუდიოვიზუალური,[audiovizuaɫuɾi]
ჩრდილოფრიზიული,[t͡ʃʰɾdiɫopʰɾiziuli]
მერსია,[meɾsia]
საქსონელი,[sakʰsoneli]
იუტი,[iutʼi]
ანგლი,[aŋɡli]
ანგლია,[aŋɡlia]
ნორთუმბრია,[noɾtʰumbɾia]
მიდლესექსი,[midlesekʰsi]
უესექსი,[uesekʰsi]
ესექსი,[esekʰsi]
სასექსი,[sasekʰsi]
მიდლენდსი,[midlendsi]
ოთხპალატიანი,[otʰχpʼaɫatʼiani]
სამპალატიანი,[sampʼaɫatʼiani]
გრანდ-ესტი,[ɡ̊ɾandestʼi]
ო-დე-ფრანსი,[odepʰɾansi]
ილ-დე-ფრანსი,[ildepʰɾansi]
რაიხი,[ɾaiχi]
მეგაცუნამი,[meɡat͡sʰunami]
ცუნამი,[t͡sʰunami]
გასტრონაციონალიზმი,[ɡ̊astʼɾonat͡sʰionalizmi]
კლასიკა,[kʼɫasikʼa]
თვითმმართველობა,[tʰʷitʰmmaɾtʰʷeɫoba]
თვითმიყენებული,[tʰʷitʰmiχʼenebuli]
სათბური,[satʰbuɾi]
ბრაუნფილდი,[b̥ɾaunpʰildi]
მაღალტექნოლოგიური,[maʁaltʼekʰnoɫoɡiuɾi]
ინდო-წყნაროკეანური,[indot͡sʼχʼnaɾokʼeanuɾi]
წყნაროკეანური,[t͡sʼχʼnaɾokʼeanuɾi]
ტრანსწყნაროკეანური,[tʼɾanst͡sʼχʼnaɾokʼeanuɾi]
ტრანსატლანტიკური,[tʼɾansatʼɫantʼikʼuɾi]
სუპრანაციონალურად,[supʼɾanat͡sʰionaɫuɾatʰ]
სუპრანაციონალურობა,[supʼɾanat͡sʰionaɫuɾoba]
