word,ipa
Жахан,/ʒɑˈχɑn/
Нұртас,/nʊrˈtɑs/
лаулау,/lawlaw/
Рим,[rim]
финал,[fʲɪˈnaɫ]
Белград,[ˈbɛɫɡrɐt]
пайдалы,/pɑjdɑˈɫɯ/
сәттілік,[sætʰːɘˈlɘkˀ]
ұмыту,/o̙mo̙ˈto̙w/
қымбатты,[qɯmbɑtˈtɯ]
бекіту,/bek(ɘ)ˈtɘw/
ұсыну,/o̙sɯˈno̙w/
-се,[-ˈsɪ̞]
Дана,[dɑ.ˈnɑ]
мана,[ˈmana]
нөң,/nœŋ/
шырай,[ʃɤ̆ɾɑj]
бапа,/bɑˈpɑ/
Прага,[ˈpraɣa]
собор,[ˈsɔbɔr]
сирена,[siˈrɛna]
ырысты,[ɤ̆ɾɤ̆stɤ̆]
өң,/øŋ/
-ш,[ˈ-ʃ]
тұтқа,[tʊtˈqɑ]
синтезатор,[sintɛˈzator]
йога,[ˈjɵɡə]
қату,[qʰɑtuw]
клуб,[kɫup]
ағызу,/ɑʁəˈzuw/
дрәшкілеу,[d(ɘ̆)ɾæɕkɘ̆lʲew]
марту,[ˈmartʊ]
сквош,[skvoʂ]
бастық,/bɑsˈtəq/
хохол,[xɐˈxoɫ]
трест,[trʲest]
концерн,[kɐnˈt͡sɛrn]
ма,/mɑ/
Эстония,/esˈtoɲija/
доға,[dʊ̞ˈʁɑ]
озон,[oˈzɔn]
индустрия,[ɪndʊˈstrʲijə]
экватор,[ɪkˈfatər]
эклиптика,[ɪˈklʲiptʲɪkə]
этимология,[ɪtʲɪmɐˈɫoɡʲɪjə]
композиция,[kəmpɐˈzʲit͡sɨjə]
митрополит,[mitrɔˈpɔlit]
шүберек,[ʃʏbøˈrek]
казак,[kaˈzak]
құлақшын,[qʊɫɑqˈʃɯn]
қызылқанат,[qɯzɯɫqɑˈnɑt]
чип,[t͡ʃip]
диплом,[dʲɪˈpɫom]
зина,[ˈzinɐ]
командир,[kɔmanˈdir]
үзіліс,/ʏzʏˈlɘs/
-и,[i]
микробиология,[ˌmʲikrəbʲɪɐˈɫoɡʲɪjə]
линза,[ˈlʲinzə]
лайық,/lajɤk/
тентек,/tentek/
тестостерон,[tɛstɔstɛˈrɔn]
інген,/ɘŋɡen/
квадрат,[kvaˈdrat]
әйәй,/æjˈæj/
ала,/ɑˈɫɑ/
перу,[pʲɪˈru]
өш,/œʃ/
нану,[naːnəw]
сылтау,/sɤltaw/
оралман,/oralman/
шаршау,[ʂɑrˈʂɑw]
жезде,/ʒezde/
дейін,/dejɘn/
бала-шаға,/bɑˌlɑʃɑˈʁɑ/
қатал,/katal/
шіркін,/ʃɘrkɘn/
мейір,/mejɘr/
мейірім,/mejɘrɘm/
берік,/beˈrɘk/
буфер,[ˈbufʲɪr]
сарт,/sɑrt/
уся,[uˈsʲa]
жаттау,/ʒɑttɑw/
рапс,[raps]
матор,/ˈma.tor/
тәтәй,/tæˈtæj/
шеше,/ɕʲeˈɕʲe/
аттау,/ɑˈtːɑ-/
сармат,[sɐrˈmat]
-ір,"[ ir]"
акция,[ˈakt͡sɨjə]
тыс,[ˈtɨs]
лига,[ˈliɡɐ]
аэробика,[ɐɪˈrobʲɪkə]
бүйту,/bʉjˈtʉw/
папа,/pɑˈpɑ/
мама,[ˈmama]
биржа,[ˈbʲirʐə]
өнім,[wøˈnʏm]
юзербокс,[jʉzʲɪrˈboks]
жасымық,/ʑasɯˈmɯq/
абайтану,/ɑˌbɑjtɑˈnʊw/
қағаз,[qɑˈɣɑz]
ғашық,/ʁɑˈʃəq/
сарбаз,/sɑrˈbɑz/
нанду,[nɐnˈdu]
жатыр,/ʒɑ.tɤr/
бақа,/bɑˈqɑ/
бірқазан,/bɘrqɑˈzɑn/
өлім,[wøˈlʏm]
құс,/ˈqʊs/
қол,/qoɫ/
қалаш,/qɑ.lɑʃ/
қарақ,/qɑˈrɑq/
қабір,[qɑˈbɘɾ]
тән,/ˈtæn/
тұрғын,[tʊrˈɣɨn]
рұқсат,[rʊqˈsɑt]
көл,[kʏ̞l]
жолбарыс,[ʒolbɑˈɾɯs]
ұшақ,/ʊ.ʃɑq/
қыз,/qəz/
қотақ,/qoˈtɑq/
қалам,/qa.lam/
қанат,/qɑˈnɑt/
қала,/qɑ.lɑ/
шам,[ʃam]
хат,/χɑt/
хабар,/χɑˈbɑɾ/
хайуан,/χɑjˈwɑn/
тау,/tɑw/
тат,/tat/
там,[tam]
табан,/tɒˈbɑn/
тіл,/tɘl/
сүйек,[sʏ.jø̞k]
май,/maj/
орман,[worˈmɑn]
мал,/mɑɫ/
мұсылман,[mʊsʊɫˈmɑn]
лимон,[limɔn]
кент,[kʲent]
кітап,/kɘ.tɑ̝p/
ит,/it/
жұлдыз,/ʒʊlˈdəz/
жел,[ʑel]
банан,[baˈnan]
велосипед,[vɛɫosiˈpɛt]
бала,[bɑˈɫɑ]
балық,/bɑˈləq/
адам,/ˈadam/
автобус,[afˈto̞bus]
қуану,[qʊwɑˈnʊw]
Ерасыл,/jerɑˈsɯɫ/
діл,[dʲiɫ]
ше,/ɕe/
әзіз,/æˈzɘz/
аяулы,/ɑjɑwˈlə/
Мадина,/madina/
прецессия,[prʲɪˈt͡sɛsʲːɪjə]
биология,[bioˈɫɔɡijɐ]
қайнар,[qɑjˈnɑr]
эстафета,[ɪstɐˈfʲetə]
Ісләм,[ɘsˈlæm]
агностик,[ɐɡnoˈstik]
қатық,[qɑˈtɯ̞q]
меркантилизм,[mʲɪrkənʲtʲɪˈlʲizm]
тегіс,[teˈɡɘs]
есептеу,[jesʲepˈtew]
Нарын,/nɑˈrən/
жасын,[ʑa.ˈsɯn]
дзәт,/dzæt/
кооператив,[kɐɐpʲɪrɐˈtʲif]
гамбит,[ɡɐmˈbit]
осетин,[ɐsʲɪˈtʲin]
Татарстан,[tʰɑ.tʰɑr.ˈstʰɑn]
татар,[tɐˈtar]
чуваш,[ˈt͡ʃu̟vɐʃ]
мәңгүрт,/mæŋˈɡʉɾt/
абат,[aˈbat]
талақ,[tɑˈɫɑq]
құздамалық,[qʊzdɑmɑˈɫɯq]
құрғақшыл,[qʊrɣɑqˈʃɯɫ]
орманшылық,[worˌmɑnʃɯˈɫɯq]
-іт,"[ ˈit]"
-ім,"[ im]"
оқтау,[woqˈtɑw]
-ер,"[ ɛr]"
шуаш,/ʃʊwɑʃ/
отырыс,[wotɯrˈɯs]
бесбармақ,/ˌbes.bɑrˈmɑq/
шелпек,/ɕelʲ.pek/
Сион,[sʲɪˈon]
көрсеткіш,[kørsøtˈkɘʃ]
қарар,/qɑˈɾɑɾ/
жабдық,/ʒɑbˈdəq/
атқыш,/ɑtˈqəʃ/
өмлет,[wœˈmlʲet]
қытайбұршақ,/qətɑjbʊɾʃɑq/
арзу,/ɑrˈzʊw/
арзымайтын,/ar.zɨ.maj.tɨn/
боқтау,/boqˈtɑw/
үтік,/y.tyk/
сөк,/sɵk/
релятивизм,[rʲɪlʲɪtʲɪˈvʲizm]
шұбау,/ʃu.baw/
жәлептік,/ʒælepˈtɘk/
қотағыма,/qoˌtɑ.ʁəˈmɑ/
алақай,/ɑlɑˈqɑj/
сүмесін,/sʏ.mø.sʏn/
тінту,/tin.tyw/
шұбат,/ʃʊ.bɑt/
сүмесүт,/sʏ.mø.sʏt/
астау,/ɑs.tɑw/
жылнамашы,[ʒɯɫnɑmɑˈʃɯ]
Кришна,[ˈkrʲiʂnə]
бромоформ,[brəmɐˈform]
бұйым,/bʊˈjəm/
оңай,/wo.ŋɑj/
Шыңғыс,/ʃəŋ.ʁəs/
ырбию,[əɾβəjʊw]
жұмырық,[ʒʊmʊˈɾʊq]
бесқонақ,/ˌbes.qoˈnɑq/
қалыңдық,/qɑləŋdəq/
көпшік,[kɵp.ɕʏk]
ыссық,[əsːəq]
ыссы,[əsːə]
кіттәй,/kɪtːæj/
нән,[næn]
сүгірет,[sʏɡʏˈɾʲet]
сүгрет,[sʏɡˈrʲet]
қағу,/qɑˈʁʊw/
ғой,/ʁoj/
бесік,/beˈsɘk/
айту,/ɑjˈtʊw/
ықылық,/əqələq/
сарғыш,[sɑrˈɣɯʃ]
мағынасыздық,/mɑɣɯnɑsɯzˈdɯq/
қайсы,/qaj.sɨ/
юнан,/ju.nan/
Нубия,[ˈnubʲɪjə]
бауырсақ,/bɑwərˈsɑq/
анық,/ɑˈnəq/
тарақ,[tɑˈrɑq]
сүйіс,/sʉˈjɘs/
толы,[toˈɫə]
шана,[ʃɑˈnɑ]
жарамды,/ʒɑrɑmˈdə/
қанқұмар,[qɑnqʊˈmɑr]
қалу,[qɑˈlʊw]
тақта,[tɑqˈtɑ]
содан,[soˈdɑn]
жұрнақ,[ʒʊrˈnɑq]
bız,/bɘz/
ұжым,[ʊˈʒʊm]
қойшы,[qojˈʃɯ]
атомаралық,[ɑtomɑrɑˈɫɯq]
мұздықаралық,[mʊzdʊqɑrɑˈɫɯq]
аллельаралық,[ɐˌlʲelʲɑrɑˈɫəq]
саясатшы,[sɑjɑsɑtˈʃɯ]
тастау,[tɑstɑw]
сөздікжасам,[søzdʏkʒɑˈsɑm]
тұл,[tʊɫ]
қоюландырғыш,[qojʊwɫɑndɯrˈɣɯʃ]
Сеара,[sɛɐˈra]
стақан,[stɐˈqan]
жаңбырлы,/ʒɑŋbərˈlə/
жамандық,/ʒɑmɑnˈdəq/
құдайтанушы,[qʊdajtanʊwˈʃɯ]
корунд,[kɐˈrunt]
құжаттама,[qʊʒɑtːɑˈmɑ]
Ислам,[ɪsˈlam]
Мекке,/mʲeˈkʲe/
отын,[woˈtən]
Омбы,[womˈbɯ]
олиготроф,[wolʲɪɡɐˈtrof]
олигомер,[wolʲɪɡɐˈmʲer]
бесті,/besˈtɘ/
Медине,/mʲedʲiˈnʲe/
өзара,[øzˈɑrɑ]
сандуғаш,[sanduwˈʁaʃ]
Елбасы,[(j)ɪɫbɐˈsɨ]
Жұлдыз,/ʒʊlˈdəz/
Аружан,/ɑ.ro̙wˈʐɑn/
жолбасшы,[ʒoɫbɑsˈʃə]
Жолбарыс,[ʒolbɑˈɾɯs]
баланит,[bɐɫɐˈnit]
Сейфолла,[sejfoɫˈɫɑ]
умма,[ˈumːə]
берен,[ˈbɛɾɛn]
дәріханашы,/dæˌrɘχɑnɑˈʃə/
сарғылт,[sɑrˈɣɯɫt]
тұяқты,[tʊjɑqˈtɯ]
-де,[dʲe]
Гуаңжоу,/ɡwɑŋˈʒow/
Шаңхай,[ʃaŋˈxaj]
салым,[sɑˈɫɯm]
галлюциноген,[ɡəlʲʊt͡sɨnɐˈɡʲen]
Грекия,/ɡre.kɪ.ja/
Шахтинск,[ʂɑχtʲɪnsk]
Сәтбаев,[sætpɑjef]
Талдықорған,/tɑɫ.dɯ.qɔɾˈɣɑn/
Тараз,[taɾaz]
Теміртау,[tʲemɘɾtɑw]
Щучинск,[ɕutʃɪnsk]
Екібастұз,/jeˌkɘbɑsˈtʊz/
Орал,[woˈrɑɫ]
Степногорск,[stʲepnɐɡɔɾsk]
Саран,[sɑɾɑn]
Риддер,[ɾɪdˈdɛɾ]
Жаңаөзен,/ʒɑŋˌɑ.ɵˈzen/
