word,ipa
incilis,/inˈkiː.lis/
caio,/ˈkaj.u/
chrysopoeia,/kɹɪsəˈpiːə/
Eufrates,/eu̯ˈfraː.teːs/
avillus,/aˈu̯il.lus/
Asenarius,/a.seˈna.ri.us/
irrigator,/ir.riˈɡaː.tor/
Syrastrene,/sy.rasˈtreː.neː/
Mostellaria,/moːs.telˈlaː.ri.a/
Bucephalas,/buːˈke.pʰa.laːs/
doxologia,/dok.soˈlo.ɡi.a/
refutatio,/re.fuːˈtaː.ti.oː/
fluxe,/ˈfluːk.seː/
antiochensis,/an.ti.oˈkʰen.sis/
Edessenus,/e.desˈseː.nus/
amplificatrix,/am.pli.fiˈkaː.triːks/
hypermetricus,/hy.perˈme.tri.kus/
declarativus,/deː.klaː.raːˈtiː.u̯us/
Brenda,/ˈbɹɛndə/
Vitomirus,/u̯iˈto.mi.rus/
Vitomir,/ˈu̯i.to.mir/
indifficulter,/in.dif.fiˈkul.ter/
facul,/ˈfa.kul/
faculter,/faˈkul.ter/
solerter,/soːˈler.ter/
simulter,/siˈmul.ter/
subter-,/ˈsub.ter/
inlaboratus,/in.la.boːˈraː.tus/
illaboratus,/il.la.boːˈraː.tus/
inmaturus,/in.maːˈtuː.rus/
Pechinum,/ˈpe.ki.num/
Barzimeres,/barˈzi.me.reːs/
aspergillum,/ˌas.pəˈd͡ʒɪl.əm/
arthritis,/ɑːˈθɹ(a)ɪtɪs/
Trebulani,/treː.buˈlaː.niː/
Tydeus,/ˈtyː.de.us/
inopinor,/i.noˈpiː.nor/
epitonium,/e.piˈto.ni.um/
ternagus,/ˈter.na.ɡus/
ostilis,/osˈtiː.lis/
ustilis,/usˈtiː.lis/
fimo,/ˈfi.mo/
intro-,[ɪntro]
palmipedalis,/pal.mi.peˈdaː.lis/
illac,/ˈil.lak/
illoc,/ilˈloːk/
Palaeologus,/pa.lae̯ˈo.lo.ɡus/
brunus,/ˈbruː.nus/
vilipendium,/u̯iː.liˈpen.di.um/
cantionalis,/kan.ti.oːˈnaː.lis/
sititrix,/siˈtiː.triːks/
offulcio,/ofˈful.ki.oː/
basilicus,/baˈsi.li.kus/
perfusio,/perˈfuː.si.oː/
malleabilis,/mal.leˈaː.bi.lis/
oviductus,/oː.u̯iˈduk.tus/
Gurthegirnus,/ɡur.tʰeˈɡir.nus/
Guorthegirnus,/ɡʷor.tʰeˈɡir.nus/
Cubertus,/kuˈber.tus/
Cudbertus,/kudˈber.tus/
Owinus,/ˈo.u̯i.nus/
Pipinnus,/piˈpin.nus/
Pipinus,/ˈpi.pi.nus/
coruscamen,/ko.rusˈkaː.men/
infulcio,/inˈful.ki.o/
elusio,/eːˈluː.si.oː/
submissim,/subˈmis.sim/
senatusconsultum,/se.naː.tuːs.konˈsul.tum/
ambifariam,/am.biˈfaː.ri.am/
Ligurinus,/li.ɡuˈriː.nus/
frutesco,/fruˈteːs.koː/
virtualiter,/u̯ir.tuˈa.li.ter/
actualiter,/aːk.tuˈaː.li.ter/
praesensio,/prae̯ˈsen.si.oː/
habiturium,/ha.biˈtuː.ri.um/
Coriosolites,/ko.ri.o.soˈliː.teːs/
acrocolion,/a.kroˈkoː.li.on/
multiscius,/mulˈtis.ki.us/
emphyteutarius,/em.pʰy.teu̯ˈta.ri.us/
emphyteoticus,/em.pʰy.teˈo.ti.kus/
emphyteota,/em.pʰyˈe.o.ta/
emphyteosis,/em.pʰyˈte.o.sis/
Brannovices,/branˈno.u̯i.keːs/
Blannovii,/ˈblan.no.u̯ii̯/
Bigeriones,/bi.ɡeˈri.o.nes/
emphyteuticalis,/em.pʰy.teu̯.tiˈkaː.lis/
emphyteuta,/em.pʰyˈteu̯.ta/
emphyteuticarius,/em.pʰy.teu̯.tiˈkaː.ri.us/
emphyteuticus,/em.pʰyˈteu̯.ti.kus/
emphyteuma,/em.pʰyˈteu̯.ma/
antichristianus,/an.ti.kʰriːs.tiˈaː.nus/
materialisticus,/ma.te.ri.aˈlis.ti.kus/
typographicus,/ty.poˈɡra.pʰi.kus/
superfluitas,/su.perˈflu.i.taːs/
omnipotentissimus,/om.ni.po.teːnˈtis.si.mus/
phaenomenum,/pʰae̯ˈno.me.num/
perdisco,/perˈdis.koː/
acratophorum,/a.kraːˈto.pʰo.rum/
absegmen,/abˈseɡ.men/
orcivianus,/or.ki.u̯iˈaː.nus/
Orcivus,/ˈor.ki.u̯us/
decipulum,/deːˈki.pu.lum/
miscellio,/misˈkel.li.oː/
nugax,/ˈnuː.ɡaːks/
orcinianus,/or.kiː.niˈaː.nus/
charoneus,/kʰa.roːˈneː.us/
praedirus,/prae̯ˈdiː.rus/
praedivinatio,/prae̯.diː.u̯iːˈnaː.ti.o/
praedives,/prae̯ˈdiː.u̯es/
stillatio,/stilˈlaː.ti.oː/
besalis,/beˈsaː.lis/
concipilo,/konˈki.pi.loː/
stillaticius,/stiːl.laːˈtiː.ki.us/
stillanter,/stiːlˈlan.ter/
proavia,/proˈa.u̯i.a/
stillativus,/stil.laːˈtiː.u̯us/
lascivulus,/lasˈkiː.u̯u.lus/
biographicus,/bi.oˈɡra.pʰi.kus/
lasciviter,/lasˈkiː.u̯us/
biographia,/bi.oˈɡra.pʰi.a/
stillatim,/stiːlˈlaː.tim/
marathrites,/ma.raˈtʰriː.teːs/
thymites,/tʰyˈmiː.tes/
querquerus,/ˈkʷer.kʷe.rus/
querquera,/ˈkʷer.kʷe.ra/
glechon,/ˈɡleː.kʰoːn/
glechonites,/ɡleː.kʰoːˈniː.tes/
hysopites,/hyː.soːˈpiː.teːs/
abrotonites,/ab.ro.toˈniː.teːs/
rudiarius,/ru.diˈaː.ri.us/
abrodiaetus,/ab.ro.diˈae̯.tus/
habrodiaetus,/ha.bro.diˈae̯.tus/
opiniuncula,/o.piː.niˈun.ku.la/
allatrix,/alˈlaː.triːks/
allator,/alˈlaː.tor/
ablegmen,/abˈleɡ.men/
peraudio,/peˈrau̯.di.oː/
recoepi,/reˈkoe̯.piː/
rememini,/reˈme.mi.niː/
lysimachia,/lyː.siˈma.kʰi.a/
pronubus,/ˈproː.nu.bus/
kyrgyzicus,/kyrˈɡyz.zi.kus/
laophorium,/la.o.pʰoˈriː.um/
abgrego,/ˈab.ɡre.ɡoː/
Azteci,/ˈaz.te.kiː/
Aztecus,/ˈaz.te.kus/
nonecuplus,/noːˈne.ku.plus/
megalographia,/me.ɡa.loˈɡra.pʰi.a/
insubidus,/inˈsu.bi.dus/
atmatertera,/at.maːˈter.te.ra/
solisequus,/soːˈli.se.kʷus/
pedamen,/peˈdaː.men/
divulgatrix,/diː.u̯ulˈɡaː.triːks/
halica,/ˈha.li.ka/
betaceus,/beːˈtaː.ke.us/
multivira,/mulˈti.u̯i.ra/
univira,/uˈni.u̯i.ra/
honestamentum,/ho.nes.taːˈmen.tum/
indaps,/ˈin.daps/
sicilimentum,/si.ki.liːˈmen.tum/
sicilio,/siˈki.li.oː/
profusio,/proˈfuː.si.oː/
iubilum,/ˈi̯uː.bi.lum/
collaudabilis,/kol.lau̯ˈdaː.bi.lis/
inclamito,/inˈklaː.mi.toː/
prensio,/ˈpren.si.oː/
feudatarius,/feu̯.daːˈtaː.ri.us/
