word,ipa
woordenboek,/ˈʋoːrdə(n)ˌbuk/
gratuit,/ɡraːˈtʋi/
zomer,/ˈzoːmər/
herfst,/ɦɛrfst/
hij,/ɦɛi̯/
niet,/nit/
zijn,/zɛi̯n/
onderbenutting,/ˌɔn.dər.bəˈnʏ.tɪŋ/
Zaïre,/ˌzaːˈiː.rə/
Roemenië,/ruˈmeː.ni.(j)ə/
jacht,/jɑxt/
voornaam,/ˈvoːrˌnaːm/
bijvoeglijk,/bɛi̯ˈvux.lək/
aanbidden,/aːmˈbɪdə(n)/
wassen,/ˈʋɑ.sə(n)/
kerel,/ˈkeː.rəl/
kluit,/klœy̯t/
nicht,/nɪxt/
vleugel,/ˈvløː.ɣəl/
bahasa,/baː.ɦaː.saː/
vrij,/vrɛi̯/
wij,/ʋɛi̯/
mijn,/mɛi̯n/
barak,"/baːˈ<span style=""color: red"">ɹ</span>ɑk/"
bef,/bɛf/
benen,/ˈbeːnə(n)/
benzol,/bɛnˈzɔl/
verre,/ˈvɛ.rə/
uwe,/ˈyu̯ə/
hadj,/ɦɑtʃ/
eventueel,/ˌeː.və(n).tyˈeːl/
heldin,/ɦɛlˈdɪn/
hebben,/ˈɦɛbə(n)/
worden,/ˈʋɔrdə(n)/
zullen,/ˈzʏ.lə(n)/
Russisch,/ˈrʏ.sis/
krot,/krɔt/
biet,/bit/
kudde,/ˈkʏdə/
carburator,/kɑr.byˈraː.tɔr/
persen,/ˈpɛrsə(n)/
CEO,/ˈsiːˈjoː/
heet,/ɦeːt/
zien,/s̻ien/
wal,/ʋɑl/
slapen,/ˈslaː.pə(n)/
landen,/ˈlɑn.də(n)/
Leuven,/ˈløː.və(n)/
lui,/lœy̯/
luier,/ˈlœy̯.ər/
kies,/kis/
blut,/blʏt/
wapen,/ˈʋaː.pə(n)/
vond,-ɔnt
geven,/ˈɣeːvə(n)/
NSDAP,/ɛn.ɛs.deː.aːˈpeː/
EEG,/eː.eːˈɣeː/
muziek,/myˈzik/
decameter,/ˈdeː.kaːˌmeː.tər/
seconde,/ˌsəˈkɔn.də/
hectometer,/ˈɦɛk.toːˌmeː.tər/
CDA,/seːdeːˈaː/
samoerai,/ˈsɑmuˌrɑɪ/
Attica,/ˈætɪkə/
vijf,/vɛi̯f/
zes,/zɛs/
zeven,/ˈzeː.və(n)/
negen,/ˈneː.ɣə(n)/
vijftien,/ˈvɛi̯f.tin/
zestien,/ˈzɛs.tin/
zeventien,/ˈzeːvə(n)tin/
achttien,/ˈɑx.tin/
informatie,/ɪn.fɔrˈmaː.(t)si/
zebrapad,/ˈzeː.braːˌpɑt/
Dijle,/ˈdɛi̯.lə/
Schelde,/ˈsxɛl.də/
kloot,/kloːt/
kerosine,/ˌkeː.roːˈzi.nə/
acetyleen,/ˌɑ.sə.tiˈleːn/
ampère,/ɑmˈpɛːr(ə)/
