word,ipa
zycyć,/ˈzɘ.t͡sɘt͡ɕ/
zur,/ˈʒur/
zrzetelniéć,/zʐɛˈtɛl.ɲet͡ɕ/
zajdy,/ˈzaj.dɘ/
zipnąć,/ˈʑip.nɔɲt͡ɕ/
ziemiak,/ˈʑɛ.mjak/
zdra,/ˈzdra/
zatrącić,/zaˈtrɔɲ.t͡ɕit͡ɕ/
zawziątek,/zavˈʑɔn.tɛk/
zawściekły,/zafˈɕt͡ɕɛ.kwɘ/
zagawka,/zaˈɡaf.ka/
zagranicze,/za.ɡraˈɲi.t͡ʂɛ/
zakucnik,/zaˈkut͡s.ɲik/
zakpić,/ˈzak.pit͡ɕ/
zadawca,/zaˈdaf.t͡sa/
zacharować,/za.xaˈrɔ.vat͡ɕ/
zabijatyka,/za.bi.jaˈtɘ.ka/
zabałbotać,/za.bawˈbɔ.tat͡ɕ/
wywianować,/vɘ.vjaˈnɔ.vat͡ɕ/
wymyskać,/vɘˈmɘs.kat͡ɕ/
wylikować,/vɘ.liˈkɔ.vat͡ɕ/
wuli,/ˈvu.li/
wsyćko,/ˈfsɘt͡ɕ.kɔ/
wsytko,/ˈfsɘt.kɔ/
wrzepić,/ˈvʐɛ.pit͡ɕ/
wnętrz,/ˈvnɛntʂ/
wnątrze,/ˈvnɔn.tʂɛ/
własno,/ˈvwas.nɔ/
wista,/ˈviɕ.ta/
wis,/waɪs/
wesołuch,/vɛˈsɔ.wux/
werko,/ˈvɛr.kɔ/
wąkop,/ˈvɔŋ.kɔp/
wartogłowa,/var.tɔˈɡwɔ.va/
walcyć,/ˈval.t͡sɘt͡ɕ/
uzycyć,/uˈzɘ.t͡sɘt͡ɕ/
uzal,[uˈθal]
uzalenie,/u.ʐaˈlɛ.ɲɛ/
uwziątek,/uˈvʑɔn.tɛk/
uwzięcie,/uvˈʑɛɲ.t͡ɕɛ/
uświadcyć,/uˈɕfjat.t͡sɘt͡ɕ/
upodoba,/u.pɔˈdɔ.ba/
ubrdać,/ˈubr.dat͡ɕ/
uburdać,/uˈbur.dat͡ɕ/
przypominajka,/pʂɘ.pɔ.miˈnaj.ka/
trusi,/ˈtru.ɕi/
świedlirz,/ˈɕfjɛ.dliʂ/
świedlerz,/ˈɕfjɛ.dlɛʂ/
światowiec,/ɕfjaˈtɔ.vjɛt͡s/
świargotać,/ɕfjarˈɡɔ.tat͡ɕ/
swargotać,/sfarˈɡɔ.tat͡ɕ/
stykot,/ˈstɘ.kɔt/
sternica,/stɛrˈɲi.t͡sa/
staisko,/staˈis.kɔ/
stawisko,/staˈvis.kɔ/
stajo,/ˈsta.jɔ/
śratać,/ˈɕra.tat͡ɕ/
sprosić,/ˈsprɔ.ɕit͡ɕ/
sporzieć,/ˈspɔr.ʑɛt͡ɕ/
