word,ipa
médica,/ˈmedika/
a,"<span class=""orth-brac"">⟨</span><span class=""orth-content""><a rel=""mw:WikiLink"" href=""./%C9%91"" title=""ɑ"">ɑ</a></span><span class=""orth-brac"">⟩</span>"
otim,/oˈt͡ʃĩ/
ajeum,/a.ʒeˈũ/
guajajara,/ɡwa.ʒaˈʒa.ɾɐ/
amochar,/a.moˈʃa(ʁ)/
doxar,/dokˈsa(ʁ)/
coprocessador,[ku.pɾu.sə.səˈðo]
porta-retratos,/ˌpɔʁ.tɐ.ʁeˈtɾa.tus/
camelídeo,/ka.meˈli.d͡ʒi.u/
desterritorialização,/des.te.ʁi.to.ɾi.a.li.zaˈsɐ̃w̃/
sanscritizar,/sɐ̃s.kɾi.t͡ʃiˈza(ʁ)/
beatlômano,/biˈtõ.ma.nu/
beatlemaníaco,/ˌbi.tow.maˈni.a.ku/
irreconciliavel,/i.ʁe.kõ.si.liˈa.vew/
bimensalmente,/bi.mẽˌsawˈmẽ.t͡ʃi/
mbóia,/ˈmbɔj.ɐ/
mboia,/ˈmbɔj.ɐ/
pilaco,/piˈla.ku/
subcategoria,/su.bi.ka.te.ɡoˈɾi.ɐ/
vaquita-marinha,/vaˌki.tɐ.maˈɾĩ.ɲɐ/
caracu,/kaɾaˈku/
saude,[saˈuðɪ]
Jerusalêm,/d͡ʒəˈɹuːsələm/
palmitagem,/paw.miˈta.ʒẽj̃/
mediolíneo,/ˌmɛ.d͡ʒi.uˈlĩ.ne.u/
tradutês,/tɾa.duˈte(j)s/
tropêço,/tɾuˈpe.su/
môça,[ˈmɔ.kə]
rapsódia,/ʁapˈsɔ.d͡ʒi.ɐ/
açaìzeiro,/a.saˌiˈze(j).ɾu/
peixinho-da-horta,/pe(j)ˌʃĩ.ɲu.daˈɔʁ.tɐ/
mecânicamente,/meˌkɐ̃.ni.kaˈmẽ.t͡ʃi/
automàticamente,/awtomaˌtikaˈmente/
irreponível,/i.ʁe.poˈni.vew/
reponível,/ʁe.poˈni.vew/
Guaixará,/ɡwaj.ʃaˈɾa/
jôgo,[ˈjoɡo]
fanarte,/faˈnaʁ.t͡ʃi/
maracatim,/ma.ɾa.kaˈt͡ʃĩ/
bostejar,/bos.teˈʒa(ʁ)/
indianizar,/ĩ.d͡ʒi.a.niˈza(ʁ)/
frequentíssimo,/fɾe.kwẽˈt͡ʃi.si.mu/
eclâmpsia,/eˈklɐ̃p.si.ɐ/
alêm,/aˈlẽj̃/
ninguêm,/nĩˈɡẽj̃/
surprêso,[surˈpreso]
subseqùente,/su.bi.seˈkwẽ.t͡ʃi/
seqùência,/seˈkwẽ.si.ɐ/
sagùi,/saˈɡwi/
tranqùilamente,/tɾɐ̃ˌkwi.laˈmẽ.t͡ʃi/
tranqùilizar,/tɾɐ̃.kwi.liˈza(ʁ)/
tranqüilizar,/tɾɐ̃.kwi.liˈza(ʁ)/
boto-cor-de-rosa,/ˌbo.tuˌkoʁ.d͡ʒiˈʁɔ.zɐ/
lambão,/lɐ̃ˈbɐ̃w̃/
laconisar,[lə.ku.niˈza]
laconizar,/la.ko.niˈza(ʁ)/
aborteiro,/a.boʁˈte(j).ɾu/
espectaculo,/espeɡˈtakulo/
cangoeira,/kɐ̃.ɡoˈe(j).ɾɐ/
infernizar,/ĩ.feʁ.niˈza(ʁ)/
flavorizante,/fla.vo.ɾiˈzɐ̃.t͡ʃi/
unar,/uˈna(ʁ)/
gouinage,/ɡo(w)iˈna.ʒi/
natureba,/na.tuˈɾɛ.bɐ/
reblogar,/ʁe.bloˈɡa(ʁ)/
desformatar,/des.foʁ.maˈta(ʁ)/
plurilingùismo,/pluɾilinˈɡwismo/
obliqùidade,/o.bli.kwiˈda.d͡ʒi/
nalguedo,/nawˈɡe.du/
cirilizar,/si.ɾi.liˈza(ʁ)/
lingùística,/lĩˈɡwis.t͡ʃi.kɐ/
freqùentemente,/fre.kwen.teˈmen.te/
freqùentar,/fɾe.kwẽˈta(ʁ)/
fôrca,/ˈfoɾka/
descondenar,/des.kõ.deˈna(ʁ)/
estôfa,[əsˈtɔ.fə]
despovoar,/des.po.voˈa(ʁ)/
eqùitativo,/e.kwi.taˈti.vo/
eqüitativo,/e.kwi.taˈti.vo/
tantalizar,/tɐ̃.ta.liˈza(ʁ)/
ensangùentar,/ensaŋɡenˈtaɾ/
bofinho,/bɔˈfĩ.ɲu/
deliqùescência,/de.li.kweˈsẽ.si.ɐ/
consangùinidade,/kõ.sɐ̃.ɡwi.niˈda.d͡ʒi/
cêsto,[ˈt͡sɛsto]
sangùíneo,/sɐ̃ˈɡwĩ.ni.u/
antigùidade,[antiɣwiˈðaðɪ]
argùir,/aɾˈɡwiɾ/
quadruplar,/kwa.dɾuˈpla(ʁ)/
necrópsia,/ne.kroˈpsi.a/
necropsiar,/ne.kɾop.siˈa(ʁ)/
maleficente,/ma.le.fiˈsẽ.t͡ʃi/
moranguinho,/mo.ɾɐ̃ˈɡĩ.ɲu/
bosquezinho,/bɔs.kiˈzĩ.ɲu/
eufemizar,/ew.fe.miˈza(ʁ)/
desengrossar,/de.zẽ.ɡɾoˈsa(ʁ)/
desarmonizar,/de.zaʁ.mo.niˈza(ʁ)/
lava-pés,/ˌla.vɐˈpɛ(j)s/
Falópio,/faˈlɔ.pi.u/
mauerar,/maw.eˈɾa(ʁ)/
Niassalândia,/ni.a.saˈlɐ̃.d͡ʒi.ɐ/
niala,/niˈa.lɐ/
carroçada,/ka.ʁoˈsa.dɐ/
cafeinar,/kaˌfe.iˈna(ʁ)/
autopsiar,/aw.top.siˈa(ʁ)/
aclimatizar,/a.kli.ma.t͡ʃiˈza(ʁ)/
abjudicar,/ab.ʒu.d͡ʒiˈka(ʁ)/
insulfilme,/ĩ.suwˈfiw.mi/
fulorar,/fu.loˈɾa(ʁ)/
desarrolhar,/de.za.ʁoˈʎa(ʁ)/
quinta-essência,/ˌkĩ.tɐ.eˈsẽ.si.ɐ/
desemperrar,/de.zẽ.peˈʁa(ʁ)/
recensão,/ʁe.sẽˈsɐ̃w̃/
Itaquá,/i.taˈkwa/
primaverar,/pɾi.ma.veˈɾa(ʁ)/
anojar,/anoˈd͡ʒaɾ/
tinilho,/t͡ʃiˈni.ʎu/
chancelar,/ʃɐ̃.seˈla(ʁ)/
brôto,[ˈbɾo.tu]
sôlto,[ˈsɔl.tu]
endosqueleto,/ˌẽ.dos.keˈle.tu/
piracema,/pi.ɾaˈsẽ.mɐ/
efeituar,/e.fej.tuˈa(ʁ)/
pingola,/pĩˈɡɔ.lɐ/
tucano-toco,/tuˌkɐ̃.nuˈto.ku/
bromélia,-iːliə
alnaíbe,/aw.naˈi.bi/
coudelaria,/ko(w).de.laˈɾi.ɐ/
enrascar,/ẽ.ʁasˈka(ʁ)/
revelia,/ʁe.veˈli.ɐ/
talaricagem,/ta.la.ɾiˈka.ʒẽj̃/
perú,[ˈpɛru]
pomânder,/poˈmɐ̃.deʁ/
cropar,/kɾɔˈpa(ʁ)/
