word,ipa
a,[ɑ̃]
Paris,/ˈpæ.ɹɪs/
Ontario,/ɒnˈtɛə.ɹi.əʊ/
Berlin,/bəˈlɪn/
Alexandria,/æləkˈzændɹi.ə/
Amsterdam,/ˌæmstəˈdæm/
abacteriemic,/a.bak.te.riˈe.mik/
abacterian,/a.bak.te.riˈan/
mier,/mir/
Bâlea,/ˈbɨ.le̯a/
capturează,[kapture̯azˈə]
telegrame,[teleɡramˈe]
molări,[molərˈi]
inspirări,[inspirərˈi]
părut,/pəˈrut/
stăuini,[stəujnˈi]
staule,[stawlˈe]
oceanul,[otʃe̯anˈul]
pomeneală,/po.meˈne̯a.lə/
extremități,[ekstremitətsˈi]
Brâncuși,/brɨnˈkuʃʲ/
brâncovenesc,/brɨn.ko.veˈnesk/
afar',/aˈfar/
vădit,/vəˈdit/
Edineț,[edinˈets]
lesturi,[lesturˈi]
sastisi,/sas.tiˈsi/
catolicitate,/ka.to.li.t͡ʃiˈta.te/
streptobacil,/strep.to.baˈt͡ʃil/
reședea,/re.ʃeˈde̯a/
splendidisim,/splen.diˈdi.sim/
sapientisim,/sa.pi.enˈti.sim/
perfectisim,/per.fekˈti.sim/
eruditisim,/e.ru.diˈti.sim/
pseudocod,/psew.doˈkod/
activație,[aktivatsjˈe]
sociopat,[sotʃjopˈat]
rusofon,/ru.soˈfon/
îndurat,/ɨn.duˈrat/
Anca,[aŋkˈa]
Gheauș,/ɡʲe̯aˈuʃ/
numa',/ˈnu.ma/
Metiș,/meɪˈtiː/
Bucin,[ˈbut͡ʃɪn]
sâneca,/sɨ.neˈka/
rigips,/ˈri.d͡ʒips/
dulciuri,/ˈdul.t͡ʃurʲ/
zacusi,/za.kuˈsi/
almintire,/alˈmin.ti.re/
cartomantic,/kar.toˈman.tik/
falimenta,/fa.li.menˈta/
șamanic,/ʃaˈma.nik/
Codoi,/koˈdoj/
astrofizic,/as.troˈfi.zik/
repetirui,/re.pe.ti.ruˈi/
Rezina,/reziˈna/
Drochia,/ˈdroki.ja/
Criuleni,/kri.uˈlenʲ/
Cahul,/kaˈhul/
Motru,/ˈmotru/
Gherghina,/ɡerˈɡi.nə/
Milova,/ˌmiːlɔːˈvɑː/
Teleajen,/teˈle̯a.ʒen/
portughezesc,-esk
albanezesc,-esk
polonesc,-esk
републикэ,[reˈpublikə]
Москова,[moskova]
Vaslui,/vasˈluj/
subdiacon,/ˈsubˌdi.ɑ.kon/
dup-aia,/duˈpa.ja/
pișa-m-aș,/ˈpi.ʃa.maʃ/
săblăzni,/sə.bləzˈni/
Бэлць,/ˈbəltsʲ/
Dedal,/ˈdɛ.dal/
Cerber,/ˈt͡sɛr.bɛr/
sucub,/suˈkub/
tăt,/tət/
cotovaie,/ko.toˈva.je/
Harghita,/harˈɡita/
coțor,/koˈt͡sor/
leapșă,/ˈle̯ap.ʃə/
leapșa,/ˈle̯ap.ʃə/
zulufat,-at
izoletă,/i.zoˈle.tə/
nehalit,/ne.haˈlit/
slobozi-m-aş,[slo.boˈzi.maʃ]
balano-,/ba.la.no/
futu-ți,/ˈfu.tut͡sʲ/
prejos,/preˈʒos/
șiț,/ʃit͡s/
țaglă,/ˈt͡sa.ɡlə/
prâsni,/prɨsnʲ/
Oltenița,/olˈtenitsa/
Bedje,/bɛt͡ʃ/
Caransebeș,/karanˈsebeʃ/
Turda,/ˈturda/
Mangalia,/maŋˈɡali.a/
Strășeni,/strəˈʃenʲ/
antiîmbătrânire,/ˌan.ti.ɨm.bə.trɨ.ˈni.re/
pupăceală,/pu.pəˈt͡ʃe̯a.lə/
sotnic,/ˈsot.nik/
polihistor,/pɔ.liˈxis.tɔr/
pișcar,[pisˈka]
alergat,/a.ler.ˈɡat/
neogam,/ne.o.ˈɡam/
pândit,[ˈpɒndit]
găteală,/ɡəˈte̯a.lə/
puseu,/puˈsew/
ludovic,/ly.dɔ.vik/
ravac,/raˈvak/
țăndări,/t͡sən.dəˈri/
reconvalescent,-ɛsənt
trând,/ˈtrɨnd/
basculă,/bas.ky.la/
abitațiune,/a.bi.ta.t͡siˈu.ne/
strigoime,/stri.ɡoˈi.me/
alimon,"/ʔaliˈmon/ [ʔa.l̪iˈmon̪]"
celniță,/ˈt͡ʃel.ni.t͡sə/
băga-mi-aș,/bəˈɡa.mjaʃ/
pamente,/ˈpa.men.te/
darovanie,[ˈdarɔvaɲi̯e]
câblă,/ˈka.bla/
sârbotei,/sɨr.bo.ˈtej/
rămaș,/rəˈmas/
cuviința,/ku.viˈin.t͡sə/
