word,ipa
зонт,[zont]
большой,[bɐlʲˈʂoj]
баской,[bɐˈskoj]
баять,[ˈba(j)ɪtʲ]
бортник,[ˈbort⁽ʲ⁾nʲɪk]
бочаг,[bɐˈt͡ɕak]
браный,[ˈbranɨj]
братыня,[brɐˈtɨnʲə]
бредень,[ˈbrʲedʲɪnʲ]
бредник,[ˈbrʲedʲnʲɪk]
буява,[ˈbu(j)ɪvə]
буево,[ˈbu(j)ɪvə]
былица,[bɨˈlʲit͡sə]
быличка,[bɨˈlʲit͡ɕkə]
масленица,[ˈmas⁽ʲ⁾lʲɪnʲɪt͡sə]
бёрдо,[ˈbʲɵrdə]
узус,[ˈuzʊs]
Израиль,/it͡sˈraiɮʲ/
яблоко,[ˈjabɫəkə]
царь,[t͡sarʲ]
палочка,[ˈpaɫət͡ɕkə]
ГУЛАГ,[ɡʊˈɫak]
русский,[ˈruskʲɪj]
знать,[znatʲ]
по-русски,[pɐ‿ˈruskʲɪ]
лучник,[ˈɫut͡ɕnʲɪk]
хорошо,[xərɐˈʂo]
лететь,[lʲɪˈtʲetʲ]
спать,[spatʲ]
играть,[ɪˈɡratʲ]
её,[(j)ɪˈjɵ]
ёж,[jɵʂ]
беркут,[ˈbʲerkʊt]
сердце,[ˈsʲert͡sə]
тайский,[ˈtajskʲɪj]
№,[ˈnomʲɪr]
борьба,[bɐrʲˈba]
карман,[kɐrˈman]
лезвие,[ˈlʲezvʲɪje]
запястье,[zɐˈpʲæsʲtʲje]
свинина,[svʲɪˈnʲinə]
щенок,[ɕːɪˈnok]
цыпка,[ˈt͡sɨpkə]
гербицид,[ɡʲɪrbʲɪˈt͡sɨt]
слабый,[ˈsɫabɨj]
отпочковываться,[ɐtpɐt͡ɕˈkovɨvət͡sə]
штуф,[ʂtuf]
немедленно,[nʲɪˈmʲedlʲɪn(ː)ə]
славный,[ˈsɫavnɨj]
сшиватель,[ʂːɨˈvatʲɪlʲ]
бабий,[ˈbabʲɪj]
мошка,[ˈmoʂkə]
всё-таки,[ˈfsʲɵtəkʲɪ]
дешёвый,[dʲɪˈʂovɨj]
жалкий,[ˈʐaɫkʲɪj]
крохотный,[ˈkroxətnɨj]
ласковый,[ˈɫaskəvɨj]
жалить,[ˈʐalʲɪtʲ]
жало,[ˈʐaɫə]
бабочка,[ˈbabət͡ɕkə]
глаз,[ɡɫas]
голова,[ɡəɫɐˈva]
гусеница,[ˈɡusʲɪnʲɪt͡sə]
жилка,[ˈʐɨɫkə]
жук-носорог,"[ˈʐuk nəsɐˈrok]"
жук-олень,"[ˈʐuk ɐˈlʲenʲ]"
часто,[ˈt͡ɕastə]
бесёнок,[bʲɪˈsʲɵnək]
презирать,[prʲɪzʲɪˈratʲ]
делать,[ˈdʲeɫətʲ]
спасибо,[spɐˈsʲibə]
шесть,[ʂɛsʲtʲ]
горло,[ˈɡorɫə]
ботинок,[bɐˈtʲinək]
новояз,[nəvɐˈjas]
быть,[bɨtʲ]
укроп,[ʊˈkrop]
пылесос,[pɨlʲɪˈsos]
прикол,[prʲɪˈkoɫ]
космонавт,[kəsmɐˈnaft]
гласность,[ˈɡɫasnəsʲtʲ]
копейка,[kɐˈpʲejkə]
рубль,/ˈrʊpɮʲ/
кремль,[krʲemlʲ]
кускус,[kʊˈskus]
мяу,[ˈmʲaʊ]
дождь,[doʂtʲ]
уступать,[ʊstʊˈpatʲ]
распятие,[rɐˈspʲætʲɪje]
день,[dʲenʲ]
везде,[vʲɪzʲˈdʲe]
держать,[dʲɪrˈʐatʲ]
деревенение,[dʲɪrʲɪvʲɪˈnʲenʲɪje]
деревянка,[dʲɪrʲɪˈvʲankə]
деревянность,[dʲɪrʲɪˈvʲanːəsʲtʲ]
деревяшка,[dʲɪrʲɪˈvʲaʂkə]
деревянный,[dʲɪrʲɪˈvʲanːɨj]
деревянистый,[dʲɪrʲɪvʲɪˈnʲistɨj]
древесный,[drʲɪˈvʲesnɨj]
деревенеть,[dʲɪrʲɪvʲɪˈnʲetʲ]
деревообрабатывающий,[ˌdʲerʲɪvɐɐbrɐˈbatɨvəjʉɕːɪj]
леса,[lʲɪˈsa]
лесистый,[lʲɪˈsʲistɨj]
леснина,[lʲɪsʲˈnʲinə]
лесной,[lʲɪsˈnoj]
