word,ipa
zezati,/zêzati/
bogda,/bǒɡda/
Pavelić,/pǎʋelit͡ɕ/
abdesthana,/abdestxǎna/
komšinica,/kǒmʃinit͡sa/
vjetrometina,/ʋjetromětina/
Bošnjaković,/boʃɲǎːkoʋit͡ɕ/
zgradurina,/zɡradǔrina/
boleščurina,/boleʃt͡ʃǔrina/
šačetina,/ʃat͡ʃětina/
sobetina,/sobětina/
cipeletina,/t͡sipelětina/
babetina,/babětina/
trbušina,/tr̩bǔʃina/
vjetromet,/ʋjetromet/
bezbeli,/bezběli/
Vojmir,/ʋôjmiːr/
Žabčić,/ʒǎbt͡ʃit͡ɕ/
Zmirajević,/zmijǎːreʋit͡ɕ/
Srnović,/sř̩noʋit͡ɕ/
Medvedović,/medʋěːdoʋit͡ɕ/
Kobilić,/kǒbilit͡ɕ/
Jarić,/jǎːrit͡ɕ/
Govedić,/ɡǒʋedit͡ɕ/
Konjarević,/koɲǎːreʋit͡ɕ/
Kravar,/krâʋaːr/
Volarić,/ʋǒlarit͡ɕ/
Sardelić,/sǎrdelit͡ɕ/
Ovčar,/ǒʋt͡ʃaːr/
Ribarić,/rǐbarit͡ɕ/
Kozarić,/kǒzarit͡ɕ/
запешћај,/zapeʃt͡ɕaj/
zapešćaj,/zapeʃt͡ɕaj/
zapešće,/zapeʃt͡ɕe/
запешће,/zapeʃt͡ɕe/
Lepojka,/lěpoːjka/
Davorka,/dâʋoːrka/
Daliborka,/dǎliboːrka/
Roka,[ˈroka]
Verica,/ʋêrit͡sa/
Vinka,/ʋîːnka/
Vjekoslava,/ʋjêkoslaʋa/
Vjeran,/ʋjěːran/
Vojin,/ʋǒjin/
Vlade,/ʋlade/
plićak,/plǐt͡ɕaːk/
flomaster,/flǒmaster/
komarča,/kǒmaːrt͡ʃa/
deveruša,/deʋěruʃa/
партецетл,/partet͡sětl̩/
млико,/mlǐːko/
bunika,/bǔnika/
побјегуља,/pobjěɡuʎa/
pobegulja,/poběɡuʎa/
Bogdanović,/boɡdǎːnoʋit͡ɕ/
Goranović,/ɡorǎːnoʋit͡ɕ/
Matković,/mâtkoʋit͡ɕ/
Jokić,/jǒːkit͡ɕ/
Bulić,/bǔːlit͡ɕ/
tamjanika,/tamjǎnika/
Ferdo,/fěːrdo/
sponzoruša,/sponzǒruʃa/
djeveruša,/djeʋěruʃa/
Tomanović,/tomǎːnoʋit͡ɕ/
Amra,/amra/
pouka,/pôuka/
Džanan,/d͡ʒǎnan/
Milanović,/milǎːnoʋit͡ɕ/
дочим,/dǒt͡ʃiːm/
