word,ipa
i,/ʔiː/
dilbilgisel,/dil.bil.ɟiˈsel/
zorlama,/zorɫɑˈmɑ/
vs.,[ˈvɛrzus]
elektromobil,[ˈɛlɛktromobɪl]
azı,[ɑˈzɯ]
makro-,"[makro ]"
yuma,/ˈjumɑ/
vandalize,/ˈvændəlaɪz/
istavroz,/istɑvˈroz/
gırgır,/ɡɯɾˈɡɯɾ/
cinnet,/dʒinˈnet/
firdevs,/fiɾˈdevs/
astrofizik,"/estroˈfizik/ [es.t̪roˈfi.ziʔ]"
random,/ˈɹændəm/
vale,/veɪl/
joker,/ˈd͡ʒəʊkə/
kızoğlankız,/ˈkɯ.zoː.ɫan.kɯz/
oğlancılık,/oː.ɫan.dʒɯˈɫɯk/
hattâ,/hàt.táː/
Beliz,/beliz/
bayıltmak,/bajɯɫtˈmak/
ferda,/ˈfæːrɑ/
yaramaz,[jɑrɑˈmɑz]
memnuniyetsizlik,/mem.nu(ː)ni.jet.sizˈlic/
çiriş,/tʃiˈɾiʃ/
ataerkil,/a.ta.eɾˈcil/
ataerki,/a.ta.eɾˈci/
penaltı,/ˈpe.naɫ.tɯ/
acınası,/a.dʒɯ.naˈsɯ/
halde,/ald/
de,[dè]
hadsiz,/hadˈsiz/
velayet,/ve.laːˈjet/
balçık,/baɫˈtʃɯk/
Azerbaycanlı,[aː.zeɾ.baj.dʒan.ɫɯ]
Azerbaycanca,/aː.zeɾ.baj.dʒan.dʒa/
veli,[ˈbɛ.li]
yıkık,/jɨˈkɨk/
yaranmak,/ja.ɾanˈmak/
meğer,/meˈ(j)eɾ/
dalyarak,/ˈdaɫ.ja.ɾak/
Karadere,/ka.ɾa.deˈɾe/
mozole,/mɔˈzɔ.lɛ/
ucubik,/u.d͡ʒuːˈbic/
bidat,/ˈbidat/
e,/ɛ/
dietil,/di.eˈtil/
endam,-ɑːm
üşmek,/yʃˈmec/
vardiya,/vaɾ.diˈja/
begonvil,/be.ɡonˈvil/
numara,/nʊ.ma.ɾɐ/
yeğni,/jejˈni/
œ,"<span class=""orth-brac"">⟨</span><span class=""orth-content"">ꟹ</span><span class=""orth-brac"">⟩</span>"
okumuş,/o.kuˈmuʃ/
pişman,/piʃˈman/
rafadan,/ɾa.faˈdan/
sikko,/ˈsik.ko/
elenmek,/e.lenˈmec/
şahane,/ʃaː.haːˈne/
tepegöz,/tʲepʲeˈɟøs/
hissedilmek,/ˈhis.se.dil.mec/
kırnak,/kɯrˈnɑk/
kardaş,/kɑˑrˈdɑʃ/
sınırlamak,/sɯ.nɯɾ.laˈmak/
tatminsizlik,/tat.min.sizˈlik/
lobici,/ˈlo.bi.d͡ʒi/
amentü,/aː.menˈty/
Cimbom,/dʒimbom/
fersah,/feɾˈsah/
kararlaştırılmak,[ka.ɾaɾ.ɫaʃ.tɯ.ɾɯɫˈmak]
zenginleştirmek,[zeɲ.ɟin.leʃ.tiɾˈmec]
ahlaksızlaştırmak,[ah.lak.sɯz.ɫaʃ.tɯɾˈmak]
rutubetlenmek,[ɾu.tuːbet.lænˈmec]
Refik,/ɾeˈfic/
memleha,/mem.leˈha/
oturum,/o.tuˈɾum/
manşetli,/man.ʃetˈli/
manşet,/manˈʃet/
musallat,/mu.sɑɫˈɫɑt/
