word,ipa
дименіти,[demeˌnʲite]
скрити,[ˈskrɪte]
скривати,/skrǐːʋati/
Богота,[bɔˈɡɔta]
Маскат,[maˈskat]
Мумбай,/mumbaj/
бумкат,[ˌbumkɐt]
брехат,[breˈxat]
вутак,[wʊˈtak]
стовідсотково,[stɔʋʲid͡zsɔtˈkɔwɔ]
пройтися,[prɔi̯ˈtɪsʲɐ]
да,[da]
порівнянний,[pɔrʲiu̯ˈnʲanːei̯]
помірно,[poˈmʲirnɔ]
тропа,[ˈtrɔpa]
одинадцятикутник,[ɔdenɐd͡zʲt͡sʲɐteˈkutnek]
п'ятнадцятикутник,[pjɐtnɐd͡zʲt͡sʲɐteˈkutnek]
семигранник,[sʲɪmʲɪˈɡranʲːɪk]
п'ятигранник,[pjɐteˈɦranːek]
десятигранник,[dʲɪsʲɪtʲɪˈɡranʲːɪk]
двадцятигранник,[dʋɐd͡zʲt͡sʲɐteˈɦranːek]
-ття,"[ ˈtʲːa]"
прянощі,[ˈprʲanɔʃt͡ʃʲi]
іграшковий,[iɦrɐʃˈkɔʋei̯]
оксамитовий,[ɔksɐˈmɪtɔʋei̯]
-їв,"[ iu̯]"
опритомніти,[ɔpreˈtɔmnʲite]
схаменутися,[sxɐmeˈnutesʲɐ]
-иця,"[ et͡sʲɐ]"
банщиця,[ˈbanʃt͡ʃek]
сховатися,[sxɔˈʋatesʲɐ]
ховатися,[xɔˈʋatesʲɐ]
-ений,[ˈɛnei̯]
-ючий,[ˈjut͡ʃei̯]
язикатий,[jɐzeˈkatei̯]
-овитий,"[ ɔˈʋɪtei̯]"
м'ясистий,[mjɐˈsɪstei̯]
-ястий,"[ ˈjɐstei̯]"
хвильовий,[xʋelʲɔˈʋɪi̯]
докінчити,[dɔkʲinˈt͡ʃɪte]
-ьовий,[ˈʲɔʋei̯]
-євий,[jeˈʋɪi̯]
-евий,[ˈɛʋei̯]
зорганізувати,[zɔrɦɐnʲizʊˈʋate]
чорнявий,[t͡ʃɔrˈnʲaʋei̯]
-лявий,"[ ˈlʲaʋei̯]"
-ичний,"[ ˈɪt͡ʃnei̯]"
голити,[ɦɔˈɫɪte]
-явий,"[ ˈjaʋei̯]"
повзучий,[pɔu̯ˈzut͡ʃei̯]
відтоді,[ʋʲidˈtɔdʲi]
-атий,"[ ɐtei̯]"
невигідний,[neˈʋɪɦʲidnei̯]
кляштор,[ˈklʲaʃtɔr]
Ростислава,[rəsʲtʲɪsˈɫavə]
чорно-білий,"[ˈt͡ʃɔrnɔ ˈbʲiɫei̯]"
кулінарний,[kʊlʲiˈnarnei̯]
слобожанка,[sɫɔbɔˈʒankɐ]
Стас,[ˈstas]
Дністровський,[dʲnʲiˈstrɔu̯sʲkei̯]
Святослава,[sʲʋʲɐtɔsˈɫaʋɐ]
своєчасний,[swɔjeˈt͡ʃasnei̯]
українсько-,[ʊkrɐˈjinʲsʲkɔ]
медзаклад,[meˈd͡zakɫɐd]
русько-,[ˈrusʲkɔ]
російсько-,[rɔsʲii̯sʲkɔ]
тре,[trɛ]
дронар,[drɔˈnar]
Мстислав,[mstesˈɫau̯]
щириця,[ʃt͡ʃeˈrɪt͡sʲɐ]
таврієць,[tɐu̯rʲiˈjɛt͡sʲ]
Станіслава,[stɐnʲisˈɫaʋɐ]
Валерія,[ʋɐˈɫɛrʲijɐ]
Раїса,[rɐˈɪsɐ]
прохолода,[prɔxɔˈɫɔdɐ]
Тимофіївна,[temoˈfʲijiu̯nɐ]
Ростиславівна,[rɔstesˈɫaʋʲiu̯nɐ]
росія,[roˈsʲijɐ]
чифір,[t͡ʃeˈfʲir]
фаріонізм,[fɐrʲioˈnʲizm]
стипендія,[steˈpɛnʲdʲijɐ]
Дмітров,[ˈdʲmʲitrɔu̯]
чіп,[t͡ʃʲip]
трапити,[ˈtrapete]
азовський,[ɐˈzɔu̯sʲkei̯]
наддніпрянка,[nɐdːnʲiˈprʲankɐ]
наддніпрянець,[nɐdːnʲiˈprʲanet͡sʲ]
Катеринослав,[kɐterenɔsˈɫau̯]
Придніпровськ,[predʲnʲiˈprɔu̯sʲk]
парити,[ˈparete]
дніпровий,[dʲnʲiˈprɔʋei̯]
Почайна,[pɔˈt͡ʃai̯nɐ]
наддніпрянський,[nɐdːnʲiˈprʲanʲsʲkei̯]
олександрівський,[ɔɫekˈsandʲrʲiu̯sʲkei̯]
правильність,[ˈpraʋelʲnʲisʲtʲ]
прикриття,[prekreˈtʲːa]
дніпрянець,[dʲnʲiˈprʲanet͡sʲ]
дніпрянський,[dʲnʲiˈprʲanʲsʲkei̯]
усиновити,[ʊsenɔˈʋɪte]
усиновлення,[ʊseˈnɔu̯ɫenʲːɐ]
цєрез,[ˈt͡sʲɛrez]
рисовий,[ˈrɪsɔʋei̯]
вивіз,[ˈʋɪʋʲiz]
оповідь,[ˈɔpɔʋʲidʲ]
кентерберійський,[kenterbeˈrʲii̯sʲkei̯]
зміївський,[ˈzʲmʲijiu̯sʲkei̯]
Зміївка,[zʲmʲiˈjiu̯kɐ]
правдивість,[prɐu̯ˈdɪʋʲisʲtʲ]
полетіти,[pɔɫeˈtʲite]
нагір'я,[nɐˈɦʲirjɐ]
біограф,[bʲiˈɔɦrɐf]
Дніпряни,[dʲnʲiˈprʲane]
Артурівна,[ɐrˈturʲiu̯nɐ]
Семенівна,[seˈmɛnʲiu̯nɐ]
дніпрянка,[dʲnʲiˈprʲankɐ]
Хотєтова,[xɔˈtʲɛtɔʋɐ]
Хотєтово,[xɔˈtʲɛtɔwɔ]
закипілий,[zɐkeˈpʲiɫei̯]
закипіти,[zɐkeˈpʲite]
закипати,[zɐkeˈpate]
нагорі,[nɐɦoˈrʲi]
нагору,[nɐˈɦɔrʊ]
дивування,[dewʊˈʋanʲːɐ]
міксер,[ˈmʲikser]
семикутний,[semeˈkutnei̯]
руцкій,[ˈrut͡sʲkʲii̯]
коромисло,[kɔˈrɔmesɫɔ]
Валерій,[ʋɐˈɫɛrʲii̯]
трампівець,[ˈtrampʲiʋet͡sʲ]
Канади,[kɐˈnade]
Канаді,[kɐˈnadʲi]
канадійська,[kɐnɐˈdʲii̯sʲkɐ]
Руссю,[ˈrusʲːʊ]
Русі,[ruˈsʲi]
адресний,[ˈadresnei̯]
фунтові,[ˈfuntɔʋʲi]
фунті,[ˈfunʲtʲi]
фунтів,[ˈfunʲtʲiu̯]
гоголівський,[ˈɡoɡəlʲɪfsʲkʲɪj]
їнь-ян,"[jinʲ jan]"
їнь,[jinʲ]
комірка,[koˈmʲirkɐ]
Фіви,[ˈfʲiʋe]
Дмитрик,[ˈdmɪtrek]
Димко,[demˈkɔ]
п'ятикутний,[pjɐteˈkutnei̯]
Артурович,[ɐrˈturɔʋet͡ʃ]
Тимофійович,[temoˈfʲijɔʋet͡ʃ]
Святославівна,[sʲʋʲɐtɔsˈɫaʋʲiu̯nɐ]
Станіславівна,[stɐnʲisˈɫaʋʲiu̯nɐ]
Святославівський,[sʲʋʲɐtɔsˈɫaʋʲiu̯sʲkei̯]
Федорівський,[ˈfɛdʲirʲiu̯sʲkei̯]
Антонівський,[ɐnˈtɔnʲiu̯sʲkei̯]
Ольжинський,[ˈɔlʲʒenʲsʲkei̯]
Сергіївський,[serˈɦʲijiu̯sʲkei̯]
трискладовий,[treskɫɐˈdɔʋei̯]
Савичівський,[ˈsaʋet͡ʃʲiu̯sʲkei̯]
Тарасівський,[tɐˈrasʲiu̯sʲkei̯]
Андріївський,[ɐnˈdʲrʲijiu̯sʲkei̯]
двоскладовий,[dwɔskɫɐˈdɔʋei̯]
Петрівський,[peˈtʲrʲiu̯sʲkei̯]
односкладовий,[ɔdnɔskɫɐˈdɔʋei̯]
Романівна,[rɔˈmanʲiu̯nɐ]
багатоскладовий,[bɐɦɐtɔskɫɐˈdɔʋei̯]
Савівна,[ˈsaʋʲiu̯nɐ]
Тарасівна,[tɐˈrasʲiu̯nɐ]
-ифікація,"[ efʲiˈkat͡sʲijɐ]"
бусифікація,[bʊsefʲiˈkat͡sʲijɐ]
Федорівна,[ˈfɛdɔrʲiu̯nɐ]
Яремівна,[jɐˈrɛmʲiu̯nɐ]
Ярославівна,[jɐrɔsˈɫaʋʲiu̯nɐ]
Янівна,[ˈjanʲiu̯nɐ]
Мелетіївна,[meˈɫɛtʲijiu̯nɐ]
Яківна,[ˈjakʲiu̯nɐ]
Юліївна,[ˈjulʲijɔʋet͡ʃ]
як-небудь,"[jak ˈnɛbʊdʲ]"
абдикаційний,[ɐbdekɐˈt͡sʲii̯nei̯]
милиця,[ˈmɪɫet͡sʲɐ]
Дмитрівський,[ˈdmɪtʲrʲiu̯sʲkei̯]
Богданівський,[bɔɦˈdan]
пересохнути,[pereˈsɔxnʊte]
Олежин,[ɔˈɫɛʒen]
пересихати,[pereseˈxate]
експедиційний,[ekspedeˈt͡sʲii̯nei̯]
начебто,[ˈnat͡ʃebtɔ]
струмочок,[strʊˈmɔt͡ʃɔk]
річечка,[ˈrʲit͡ʃet͡ʃkɐ]
координовано,[kɔɔrdeˈnɔʋɐnɔ]
комбінований,[kɔmbʲiˈnɔʋɐnei̯]
інавгураційний,[inɐu̯ɦʊrɐˈt͡sʲii̯nei̯]
спочивати,[spɔt͡ʃeˈʋate]
Юріївна,[ˈjurʲijiu̯nɐ]
поточок,[pɔˈtɔt͡ʃɔk]
потічок,[poˈtʲit͡ʃɔk]
Альона,[ɐˈlʲɔnɐ]
Анатолія,[ɐnɐˈtɔlʲijɐ]
Дмитрів,[dmeˈtʲrʲiu̯]
Петрів,[peˈtʲrʲiu̯]
здіймати,[zʲdʲii̯ˈmate]
Гнат,[ˈɦnat]
здійняти,[zʲdʲii̯ˈnʲate]
нерозумність,[neroˈzumnʲisʲtʲ]
писання,[peˈsanʲːɐ]
продаватися,[prɔdɐˈʋatesʲɐ]
продатися,[prɔˈdatesʲɐ]
подорожування,[pɔdɔrɔʒʊˈʋanʲːɐ]
самогубець,[sɐmoˈɦubet͡sʲ]
пегматитовий,[peɦmɐˈtɪtɔʋei̯]
колекціонування,[kɔɫekt͡sʲiɔnʊˈʋanʲːɐ]
розвішувати,[rɔzʲˈʋʲiʃʊʋɐte]
віршовий,[ʋʲirʃɔˈʋɪi̯]
саморозвиток,[sɐmɔˈrɔzʋetɔk]
вірогідно,[ʋʲiroˈɦʲidnɔ]
нерозумний,[neroˈzumnei̯]
парасоля,[pɐrɐˈsɔlʲɐ]
послаблення,[pɔsˈɫabɫenʲːɐ]
запевнення,[zɐˈpɛu̯nenʲːɐ]
прогнозування,[prɔɦnɔzʊˈʋanʲːɐ]
жебракувати,[ʒebrɐkʊˈʋate]
пілотувати,[pʲiɫɔtʊˈʋate]
пілотований,[pʲiɫɔˈtɔʋɐnei̯]
насипати,[nɐseˈpate]
неспівмірний,[nesʲpʲiu̯ˈmʲirnei̯]
непропорційний,[neprɔporˈt͡sʲii̯nei̯]
чтити,[ˈt͡ʃtɪte]
роздягатися,[rɔzʲdʲɐˈɦatesʲɐ]
роздягнутися,[rɔzʲdʲɐɦˈnutesʲɐ]
роздягтися,[rɔzʲdʲɐɦˈtɪsʲɐ]
розкластися,[rɔzˈkɫastesʲɐ]
розкладатися,[rɔzkɫɐˈdatesʲɐ]
тривожити,[treˈwɔʒete]
підозріння,[pʲidozʲˈrʲinʲːɐ]
зберегтися,[zbereɦˈtɪsʲɐ]
розкриття,[rɔzkreˈtʲːa]
нарости,[nɐrɔˈstɪ]
наростати,[nɐrɔˈstate]
девіз,[deˈʋʲiz]
ворожіння,[wɔroˈʒʲinʲːɐ]
орієнтир,[ɔrʲijenˈtɪr]
взаємознищення,[wzɐjemɔzˈnɪʃt͡ʃenʲːɐ]
