word,ipa
nihon,/ˈɲi.xɔn/
baqlajon,/bæq.læˈdʒɒn/
sumalak,[sʊ.mæ.lɑk]
kiyim.,[ki.jɪm]
choʻpchak,[tʃop.tʃæk]
A,/a/
tong,/tɒŋ/
sana,"/saˈna/ [saˈn̪a]"
so‘qirlik,[so.qɪr.lɪk]
naʼmatak,[naʔ.ma.tak]
navroʻz,[næʊ̯.ˈɾoːz]
tabaqa,[tæ.bæ.qɑ]
munozara,/mu.noˈzɑ.rɑ/
تقسیم,/taq.ˈsiːm/
poshsha,[pɒʃ.ˈʃɑ]
راق,/raː.qa/
ابلیس,/ʔib.ˈliːs/
ابله,/ʔab.ˈlah/
ادبیات,/ʔa.da.bij.ˈjaːt/
ادبی,/ʔa.da.ˈbiː/
خوف,/xawf/
biznes,/ˈbiz.nes/
منتو,/mantu/
semizlik,/se.mizˈlic/
-san,/sˠən̪ˠ/
افغان,/ʔap.ɣɑn/
افغانستان,/afˈɣɑnˈɪsˈtɑn/
اوچ,/ʏt͡ʃ/
اوج,/ˈʔawd͡ʒ/
انهار,/in.haː.ra/
انقلاب,/in.qi.laːb/
انقراض,/in.qi.raːdˤ/
انصاف,/ɪn.sɑːf/
ان‌شاءالله,/ʔin.ʃaː.ʔal.ˈlaːh/
انسانیت,/ʔin.saː.nij.ˈjat/
انسان,/ʔin.ˈsaːn/
حقوق,/hu.ˈquːq/
آچ,/ˈʔaːt͡ʃ/
دریا,/dar.ˈjaː/
آتش,/ʔaː.ˈtaʃ/
آت,-aːt
اجل,/ʔa.ˈd͡ʒal/
اثر,/ʔa.ˈsar/
اثبات,/ʔis.ˈbaːt/
اتفاق,/it.ti.faːq/
آته,[ʔɔː.t̪ʰä]
آدم,/ʔaː.dam/
siz,/siz/
Xiva,[ˈʃi.βə]
molik,[moˈlik]
ega,/ˈeɡa/
xok,/ʃok/
hid,/hɪd/
faqir,/fəˈkɪə(ɹ)/
tuyuq,[tuˈjuχ]
u,[uː]
aslan,/ɑslɑn/
siloh,/siˈlɒh/
vitse-prezident,"/viˈtse pre.ziˈden/"
provinsiya,/prɒ.vin.siˈjæ/
soʻroq,/soˈɾɒq/
ayniqsa,[aj.nɨq.sa]
Ishoq,/isˈhɒq/
boʻhton,/boˈhɒn/
iqror,/iqˈrɒr/
Ziyo,/ziˈjɒ/
naql,/ˈnæql/
xoin,/ˈχɒin/
ziyo,/ziˈjɒ/
zavq,/ˈzæwq/
nuqson,/nuqˈsɒn/
oxirat,/ɒχiˈræt/
Mirrix,/mirˈriχ/
najosat,/næ.d͡ʒɒˈsæt/
nafosat,/næ.ɸɒˈsæt/
badaviy,/bæ.dæˈwij/
moddiy,/mɒdˈdij/
samimiy,/sæ.miˈmij/
tavba,/tæwˈbæ/
maishat,/mæiˈʃæt/
vahshiy,/wæhˈʃij/
vijdoniy,/wiʒ.dɒˈnij/
vijdon,/wiʒˈdɒn/
muxtoriyat,/muχ.tɒ.riˈjæt/
muxtor,/muχˈtɒr/
ruhoniy,/ru.hɒˈnij/
zohiriy,/zɒ.hiˈrij/
zohir,/zɒˈhir/
xurofot,/χu.rɒˈɸɒt/
xurofiy,/χu.rɒˈɸij/
tavakkal,/tæ.wækˈkæl/
hurmat,/hurˈmæt/
izhor,/izˈhɒr/
muqaddima,/mu.qæd.diˈmæ/
qoraqalpoq,/qɒɾaqalpɒq/
mushaf,/ˈmʊs.hæf/
kinoya,/kɪ.nɒˈjæ/
tajalli,/ta.dʒalˈli/
taxallus,/ta.χalˈlʊs/
xazina,/χa.zi.na/
araqxoʻr,/a.raq.χor/
ravshan,/raʋ.ʃan/
makkajoʻxori,/makkad͡ʒoχɒɾi/
yoʻldosh,/jol.dɒʃ/
qavat,/qa.ʋat/
doʻkon,/do.kɒn/
qatagʻon,/qa.ta.ʁɒn/
mardona,[mær.d̪ɒ̝.næ]
ertaga,/ɛr.ta.ɡa/
darvoza,/dæɾ.vɒ.zæ/
xachir,/χæˈt͡ʃiɾ/
pashsha,/paʃʃa/
chivin,/t͡ʃɨvɨn/
хонақоҳ,/xonaqoh/
insho,[inʃo]
imperiya,[imˈperijɑ]
yalangʻoch,/jalan.ʁɒt͡ʃ/
osmoq,/ɒs.mɒq/
chiqmoq,/t͡ʃiqˈmɒq/
otmoq,/ɒtˈmɒq/
choʻchqa,/t͡ʃot͡ʃ.qɑ/
toʻngʻiz,/ton.ʁiz/
yolgʻon,/jɒl.ʁɒn/
chuqur,/t͡ʃuˈquɾ/
chekmoq,/t͡ʃek.mɒq/
taqmoq,/tæqˈmɒq/
sevmoq,/sevˈmɒq/
urmoq,/uɾˈmɒq/
koʻrsatmoq,/koɾ.sæt.mɒq/
soʻramoq,/so.ɾæ.mɒq/
tasnif,/tasˈnif/
ochmoq,/ɒt͡ʃ.mɒq/
daho,"/daho/ [d̪ɑ.hʊ]"
tanaffus,/tæ.næɸˈɸus/
zamon,/za.mɒn/
muhimlik,/mu.himˈlik/
muhim,/muˈhim/
xusus,/χuˈsus/
xususan,/χususan/
oqmoq,-ɒq
Адирна,/adirna/
muhit,/muˈhit/
maktub,/ˈmaktub/
Қайравон,/qajraˈvon/
Navoiy,/na.ʋɒ.ij/
Jizzax,/d͡ʒiz.zaχ/
Termiz,[t̪e̞r.mɨ̞z]
Margʻilon,/mar.ʁi.lɒn/
Qarshi,/qarʃɨ/
Fargʻona,[fær.ʁɒ̝.næ]
Namangan,/na.maŋ.ɡan/
Антокия,/antokija/
Сулаймония,/sulajmonija/
Исмоилия,/ismojilija/
Лозиқия,/loziqija/
Иброҳим,/ibroˈhim/
Сеара,[sɛɐˈra]
vergul,[verˈɡyl]
ҳазрат,/hazˈrat/
tasavvur,/ta.sav.vuɾ/
Сурайё,/surajjo/
миллат,/milˈlat/
Аврангзеб,/avranɡˈzeb/
zulmat,/ˈzulmat/
Qoʻqon,/qo.qɒn/
Рай,/raj/
Луқмон,/luqˈmon/
тиб,/tib/
баланит,[bɐɫɐˈnit]
zod,/zɒd/
turkiy,/tuɾˈkij/
иқтисод,/iqtisod/
iqtisodiy,/iq.ti.sɒˈdij/
оқибат,/oqibat/
muntazam,/mun.ta.zam/
manzum,/man.zum/
фиръавн,/firʔavn/
Носир,/nosir/
Баъс,/baʔs/
kiyik,[kʰijɨχ]
қутб,/qutb/
зилзила,/zilzila/
закар,/zaˈkar/
тамоман,/tamoman/
қисм,/qism/
қисман,/qisman/
саъб,/saʔb/
муҳаррам,/muharram/
рамазон,/ramazon/
шаввол,/ʃavvol/
шаъбон,/ʃaʔbon/
халқ,/xalq/
сайёра,/sajjora/
насл,/nasl/
-истон,/isˈton/
daxma,[dɑxˈmɑ]
наср,/nasr/
Лусайл,/lusajl/
алайҳоссалом,/alajhossaˈlom/
Илёс,/iljos/
но-,/no/
ғайри-,/ɣajri/
алайҳиссалом,/alajhissaˈlom/
масалан,/masalan/
Баълабак,/baʔlaˈbak/
jodugar,/d͡ʒɒːduːɡæɾ/
irqiy,/iɾˈqij/
Восит,/voˈsit/
наргис,/narɡis/
нигоҳ,/niɡoh/
zamin,"/ˈzamin/ [ˈza.min]"
ovoz,/ɒˈvɒz/
маъно,/maʔno/
анъана,/anʔaˈna/
қадим,/qaˈdim/
Муаззам,/muazzam/
муаззам,/muazzam/
qirol,[qɨˈrɒl]
ягона,/jaɡona/
Ҳалаб,/halab/
nahor,[ˈnaɦɔr]
Лола,/lola/
buyruq,[bujˈrux]
шоир,/ʃojir/
sanʼat,/san.ʔat/
кабоб,/kaˈbob/
-чи,"[ t͡ʃɪ]"
мутафаккир,/mutafakkir/
Туркистон,/turkiston/
qolmoq,/qɒl.mɒq/
kecha,[ke.ˈt͡ʃæ]
uzr,[ʊ̈.ˈz(ʊ̈)r]
uxlamoq,/ʊχ.læ.mɒq/
kattakon,/kæt.tæ.kɒn/
oʻrganmoq,/or.ɡæn.mɒq/
Ориф,/orif/
Ҳусайн,/husajn/
такя,/takja/
Микоил,/mikojil/
Искандария,/iskandariˈja/
Байрут,/bajˈrut/
Қум,/qum/
Мусо,/muso/
Tubo,"/ˈtubo/ [ˈtu.bo]"
Тубо,/tubo/
Каъба,/kaʔˈba/
tasvir,/tas.viɾ/
Шаҳло,/ʃahlo/
tegmoq,[teɡˈmɒq]
gapirmoq,[ɡæ.pɨr.ˈmɒq]
xursand,[χʊr.ˈsant]
darvoqe,[dær.vɒ.ˈqe]
chalkashmoq,[t͡ʃæl.kæʃ.ˈmɒq]
ishlatmoq,[ɨʃ.læt.ˈmɒq]
axir,/aˈʃiɾ/
sezmoq,[sez.ˈmɒq]
toʻgʻri,[toʁ.ˈrɨ]
notoʻgʻri,[nɒ.toʁ.ˈrɨ]
tashvishlanmoq,[tæʃ.vɨʃ.læn.ˈmɒq]
tushuntirmoq,[tʉ.ʃʉn.tɨr.ˈmɒq]
tutmoq,[tʉt.ˈmɒq]
tushunmoq,/tu.ʃun.mɒq/
topmoq,[tɒp.ˈmɒq]
ermoq,[er.ˈmɒq]
emoq,[e.ˈmɒq]
yoqmoq,/jɒqˈmɒq/
oshmoq,[ɒʃ.ˈmɒq]
asosan,[æ.sɒ.ˈsæn]
qaysi,[qæj.sɨ]
ketmoq,[ketˈmɒq]
oʻqimoq,[o.qɨ.ˈmɒq]
aytmoq,[æjt̪.mɒ̝q]
demoq,/deˈmɒq/
adashmoq,[æ.dæʃˈmɒq]
